rating,date,skinType,skinTone,skinTrouble,repurchase,content
"5","2026.05.08","복합성","쿨톤","잡티, 모공","False","살짝 젤 타임 느낌이라 바르고 나서 끈적이면 어쩌나 걱정했는데 흡수된 후에 끈적임 전혀 없었고 화장도 더 잘 되는 느낌을 받았어요. 저녁에도 바르지만 아침에도 바르고 있는데 언제 발라도 다 적당한 것 같고 히알루론산 이 들어 있어서 그런지 보습이 오래 지속 됩니다"
"5","2026.05.08","건성","웜톤","잡티, 주름","False","피부 수분 부족 및 보습력 저하에 도움이 되고
푸석하고 수분감 없는 피부로 전체적으로 생기 없는 얼굴에 물광을 선사합니다. 중년의 수분부족, 
탄력 저하로 피부에 영양 부족, 건조함이 눈에 띄고 거칠어진 피부결에  저분자인 식물성PDRN! 
산삼 추출 PDRN을 사용하여 산삼의 영양을 피부에전달하고 건강한 생기와 탄력 케어를 선사합니다.
산삼 추출 고효능 PDRN 함유 캡슐과  청량수분젤이유수분 밸런스 케어와 보습케어 여기에 쫀쫀한
영양과 광채가 엄청 좋아요. PDRN을 가득 담은 
밀도 있는 쫀쫀한 캡슐과 수분감 가득한 젤 크림 
텍스처가 부드럽게 어우러져 건강한 탄력과 광채를
선사하고 탄력이 떨어지고 처짐이 느껴지는 피부,
푸석하고 윤기없는 피부, 건강한 생기와활력이
필요한 피부, 자극 걱정없이 존존한 밀착 케어를 
원하는 피부, 간편하면서 효과적인 관리를 원하는 
피부에 도움이 됩니다.
        
        
              
                ... 더 보기"
"5","2026.05.05","","","","False","벌써부터 더워지는 것이 자외선 때문에 피부 열감 오르고 붉어져 걱정되는데 
이거 바르면 피부 온도가 싹 내려가면서 진정되는 게 바로 느껴져요  진심~♡ 
캡슐이 톡톡 터지면서 수분 코팅막을 씌워주는 느낌이라 속건조까지 야무지게 잡아주는 효템이에요

​지리산 산삼 추출 PDRN 영향이  푸석했던 안색에 은은한 탄력 광채가 돌게 해서 너무 좋습니다 
손상된 장벽도 탄탄하게 케어해 주니까 아침 저녁으로 정성껏 듬뿍 바르고 있어요 
거기에 귀여운 피카츄 파우치까지 챙기게되어 마음 훈훈하고 내 화장대 위에 VT 크림이 있다는게 넘 좋고 
써보면 끈적임 없이 생기가 차올라 요새 제 피부 컨디션 최상급이에요"
"5","2026.05.05","민감성","쿨톤","블랙헤드","False","요즘 PDRN 성분 핫해서 궁금해서 써봤는데,
결론부터 말하면 “수분+광채+쫀쫀함” 다 잡는 크림 느낌이에요.
일단 제형이 특이해요.
젤 크림 안에 초록 캡슐이 들어있는데 바르면 톡톡 터지면서 흡수돼요.
수부지인데 건조하지 않고 조아요!! 하나씩 떠서 쓰는 재미가 있습니당 >__< 피카츄 사랑해 ㅠ 거기다 파우치랑 키링 2개나 들어있어요 안 살 이유가 읍따 이거에요 ~~!!"
"5","2026.05.03","복합성","웜톤","주름, 각질","False","리들샷 잘 쓰고있어서 믿고 구매했어요!
요즘 같이 봄에서 여름으로 넘어갈때 너무 가벼운거 쓰기도 무거운거 쓰기도 애매할때 쓰기 좋은 것 같아요~
촉촉하고 발림성도 좋은데 보습력도 맘에 듭니다!

캡슐 크림 하나씩 떠서 바르는것도 재밌기도 하고 신선해요!
저는 다 섞지않고 하나씩 떠서 쓰고있는데 좋아요~
바르면 피부가 촉촉한데 무겁게 느껴지지 않아서 좋네요

요즘 PDRN성분 강조해서 꾸준히 써보고 효과를 느껴보고싶네요~
수분과 영양을 함께 챙기고 싶은 분께 추천드리고싶어요!"
"5","2026.05.16","","","","False","이 크림이 관심이 있었는데 고민많이했는데 이번에 1+1 기획이라 가격이 괜찮아서 구매해봤어요. ✨
캡슐 제형이라 바를 때 촉촉하고 피부에 쫀쫀하게 흡수되는 느낌이 좋았습니다. 사용하고 나면 피부가 살짝 매끈해 보이고 건조함도 덜해서 만족해요🎀
끈적임도 심하지 않아서 데일리로 쓰기 좋을거 것 같아요. 이번 포켓몬 콜라보도 너무 귀여워요 🥹🎀🤍
가격 대비 퀄리티도 좋아서 계속 쓸 예정이에요🪽
이제 다른 제품도 구매해서 사용해보고싶어요 ✨"
"5","2026.05.10","건성","쿨톤","잡티, 미백","False","피디알엔 캡슐이 바르자마자 쫀쫀하고 촉촉하게 마무리되서 맘에 듭니다
건성이 심하고 조금만 안맞아도 트러블 올라오는데 그런것 없이 잘 맞네요
그리고 포켓몬패키지 너무 귀여워요"
"5","2026.05.07","건성","가을웜톤","주름","False","포켓몬 덕후 심장 저격! 수분 광채까지 완벽한 인생 크림입니다!!

​평소 VT 리들샷 라인을 너무 잘 써와서 이번 신상 PDRN 캡슐 크림도 기대가 컸는데, 올리브영 단독 포켓몬 에디션이라니 안 살 수가 없었네요! 패키지부터 피카츄 파우치 키링까지 귀여움 한도 초과라 볼 때마다 기분이 좋아져요 ♡

​수분 캡슐의 힘일까요?  크림 안에 투명한 캡슐이 가득 들어있는데, 피부에 문지르면 톡톡 터지면서 겉돌지 않고 싹 흡수돼요. 끈적임은 없으면서 피부 속까지 꽉 찬 보습감이 느껴집니다.
​바르고 나면 인위적인 번들거림이 아니라, 피부 속에서부터 올라오는 은은한 '수분 광채'가 정말 예뻐요. 아침에 화장 전에 바르면 베이스 메이크업이 찰떡같이 잘 먹습니다.
​민감한 피부인데도 자극 없이 순하고, PDRN 성분 덕분인지 지친 피부 컨디션이 금방 회복되는 느낌이에요.
​50ml 더블 기획이라 용량도 든든하고, 무엇보다 한정판 굿즈인 피카츄 파우치 퀄리티가 생각보다 너무 좋아서 대만족입니다! 올영 세일 기간에 이 가격으로 득템한 게 이번 달 최고의 소비 같아요.
​귀여움과 피부 관리 둘 다 잡고 싶으신 분들, 이거 한정판이니까 고민 말고 얼른 쟁이세요! 인생 크림으로 강력 추천합니다!
        
        
              
                ... 더 보기"
"5","2026.04.25","민감성","봄웜톤","잡티, 미백","False","요즘 제일 좋아하는 크림!!
보습감도 진짜 좋고
피부가 탱탱해져서 마무리감도 너무 좋음"
"5","2026.04.21","복합성","여름쿨톤","트러블, 모공","False","드라마틱한 변화보다는 피부결이 정돈되는 느낌 정도입니다. 큰 자극 없이 쓸 수 있고 속건조 잡아주는 데는 도움이 되는 편이에요. 완전 산뜻한 수분크림 느낌은 아니라서 지성 피부면 양 조절은 좀 필요할 것 같아요."
"4","2026.03.20","복합성","여름쿨톤","트러블, 모공","False","'캡슐크림’이라고 해서 알갱이가 톡톡 터지는 느낌을 기대했는데 그런 타입은 아니고 그냥 부드럽게 발리면서 자연스럽게 녹는 제형이에요. 무겁게 남는 타입이 아니라 데일리로 쓰기 괜찮아요. 드라마틱한 변화보다는 피부결이 정돈되는 느낌 정도입니다. 큰 자극 없이 쓸 수 있고 속건조 잡아주는 데는 확실히 도움이 되는 편이에요. 완전 산뜻한 수분크림 느낌은 아니라서 지성 피부면 양 조절은 좀 필요할 것 같아요."
"4","2026.05.16","건성","봄웜톤","탄력, 홍조","False","피부가 푸석하고 탄력이 떨어지는 느낌이라 영양감 있는 크림 찾다가 구매해봤어요. 투명한 젤 크림 안에 캡슐이 들어 있는 독특한 제형인데 피부에 바르면 캡슐이 부드럽게 녹으면서 촉촉하게 퍼져요. 너무 무겁거나 답답한 타입은 아니고 유수분 밸런스를 맞춰주는 느낌이라 데일리로 사용하기 괜찮았어요. 바른 뒤에는 피부에 은은한 윤광이 올라오면서 피부결이 한층 매끈하고 쫀쫀하게 정돈되는 느낌이에요. 끈적임은 적은 편인데 보습감은 오래 유지돼서 밤에 듬뿍 바르고 자기에도 좋아요. 건조함·탄력·광채 케어를 한 번에 하고 싶은 분들께 추천하고 싶은 영양 크림이에요."
"5","2026.05.07","","","","False","처음엔 독특한 캡슐 제형이 궁금해서 구매했는데, 꾸준히 발라보니 피부 바탕 자체가 탄탄해진 게 느껴져요.
크림 속에 촘촘하게 박힌 영양 캡슐이 롤링할 때마다 부드럽게 터지면서 흡수돼요. 캡슐이 겉돌지 않고 피부 온도에 사르르 녹아드는데, 이 과정에서 영양이 촘촘하게 채워지는 기분이 정말 좋네요. 
PDRN 성분 덕분인지, 탄력이 떨어져 고민이었던 나비존과 턱 라인이 조금 더 쫀쫀해진 느낌? 답답함 없이도 확실한 효과가 느껴지는듯 해요. 영양감이 가득한 제형임에도 마무리도 아주 깔끔해요. 
저처럼 영양감은 있지만 끈적이지 않는 산뜻한 크림 원하신다면 브이티 추천 드려요 🥰"
"5","2026.04.21","민감성","여름쿨톤","블랙헤드","True","처음에 크림 안에있는 캡슐이 신기하기도 하고, pdrn이 유행이라길래 구매했었습니당 ㅎ 수부지+예민한 피부인데 보습력도 좋고 쿨링감도 있고 트러블도 안나서 나이트 루틴에 넣은 제품입니다 !! 거의 다 써가서 다시 샀어용 할인가일때 무조건 쟁여두세요!"
"5","2026.04.19","건성","웜톤","잡티, 탄력","False","지인 추천으로 사본 신상 수분크림입니다. 뭔가 젤같은 느낌인데 살짝 끈적임이라 해야하나 그게 있긴 한 것 같은데 흡수력은 빨라요. 건성인 분들은 조금 가벼울수 있겠다 싶었구요. 저는 밤에 무거운 걸 바르는걸 싫어하는데 이건 그렇지 않아 이제 곧 더워지는 여름에 바르기 괜찮아 보입니당!"
"5","2026.04.19","민감성","웜톤","잡티","False","VT리들샷만 쓰다가 피디알엔 크림 핫하길래 저도 이참에 구매해봤어요. 약간.. 예전에 쓰던 닥터자르@ 시카 젤 크림 st이 살짝.. ㅎㅎ

향이 있는 크림보다는 무향을 선호하는데 다행히 무향이구요. 촉촉하긴하지만 아주 사알짝 끈적임이 남아있어요. 아침보다는 밤에 바르면 좋을 크림이네요. 한통 꾸준히 써보겠습니당."
"5","2026.05.08","민감성","봄웜톤","","False","VT제품을 사용하고있는데 넘좋아서 크림도 좋을것같아서 구매했네요.^^
올영라이브에서 할인하길래 싸게 구매했어요
아직 많은 사용은 안해 봤지만 좋길바래요.
좋으면 다음에도 또 구매할께요.
그리고 더좋은 제품들이 나왔음 좋겠어요."
"5","2026.05.06","건성","여름쿨톤","잡티, 블랙헤드","False","수분감이 느껴지는 제형으로 바르면 피부 열감이 내려가는 듯한 느낌이 들어 여름에 사용하기에 제격이에요. 흡수도 빨라 아침 메이크업 전에 사용하기 좋고, 가볍고 산뜻한 사용감이면서도 보습력은 확실해서 좋아요~ 아침 루틴으로 자리 잡을 것 같네요."
