rating,date,skinType,skinTone,skinTrouble,repurchase,content
"5","2026.04.07","트러블성","가을웜톤","잡티, 주름, 트러블","False","올리브영에서 이것저것 담아서 선물하기 좋아요
매장에서 올영 선물 박스도 판매해요!
온라인도 있나 봐야겠어요
배송이 빠릅니다"
"5","2026.04.08","건성","여름쿨톤","블랙헤드, 피지과다","False","압출 후에 바를 크림 찾다가 가장 유명하다고 해서 구매해봤습니다 만족스럽습니다"
"5","2026.04.08","복합성","쿨톤","탄력","False","일단 전 건성이구요. 가아끔 티존에 유분이 올라오는데 거의 드물어서 그냥 건성이라고 생각해주시면됩니다. 홍조 있구요 염증 반응으로 인해 피부가 조금 맛이 간 상황입니다. 그래도 피부가 좋다고 말은 듣긴하지만 저에겐 좀 현재 피부상태가 좋지 않아요. 
그래서 장벽크림을 고민하다가 이 제품을 샀는데 이제품은 저녁에 바르는걸 추천드리고 냅다 얼굴에 많이 올리시면 절대로 안됩니다. 겉돌고 흡수도 안되고 결국 효과가 없어요. 
이건 엄지 손가락에 반마디만 짜서 한번 얇게 흡수시켜주면서 바르고 이후에 한번더 작게 짜서 얇게 펴바르면서 흡수시켜주면서 마무리해야 다음날 홍조가 가라앉은걸 확인 하실 수가 있어요. 
제발 냅다 많이 짜서 바르지 마세요 이건 얇게 펴바르고 흡수시키면서 레이어링을 해줘야 이크림의 진정한 효과를 누리실 수가 있어요. 밤형태라 조금 유분이 있는건 사실입니다. 하지만 건성분들은 제가 말씀드린대로 하면 답답함이 크게 안느껴지실거에요. 저는 두번만 레이어링해서 하는편이고 더 필요하신분들은 추가로 해도 됩니다만 제가 봤을땐 두번정도 레이어링 하는게 제일 무난한 것 같습니다."
"5","2026.03.20","트러블성","겨울쿨톤","잡티, 각질, 트러블","False","한 달 정도 꾸준히 사용해봤는데, 처음 며칠은 크게 차이를 느끼기보다는 자극 없이 무난하게 쓸 수 있는 정도였어요. 대신 계속 쓰다 보니까 피부가 예민하게 올라오는 빈도가 조금 줄어든 느낌이라 자연스럽게 손이 가게 되더라고요.  

제형은 살짝 꾸덕한 편이라 얇게 펴 바르는 게 좋고, 많이 바르면 답답하게 느껴질 수 있어서 양 조절은 필요한 타입입니다. 건조한 부위에 부분적으로 덧바르기엔 괜찮았어요.  

드라마틱하게 확 좋아진다기보다는, 피부 컨디션이 무너지지 않게 잡아주는 느낌이라 꾸준히 관리용으로 쓰기 괜찮은 제품이었습니다."
"5","2026.04.14","복합성","겨울쿨톤","","False","피부 뒤집어져서 마지막 희망이다 싶어서 구매했어요 트러블 다 들어갔어요ㅠ 저녁에 이제 얘만 바르고 자요"
"5","2026.04.14","건성","여름쿨톤","잡티, 미백","False","워낙 유명하니까 뭐.. 좋아요 무난하고
특별나게 좋은 느낌이라기보다는 걱정없이 쓰기 좋움"
"5","2026.04.10","민감성","봄웜톤","잡티, 트러블","False","전에도 작은용량으로 사서 잘 썼습니다! 흡수가 잘 안된다 싶으면 소량으로 여러겹 발라요! 아침에는 사용하지 않고 저녁에만 사용하는데 다음날 일어나도 건조한게 없어서 좋아요!!"
"5","2026.04.09","복합성","쿨톤","피지과다, 탄력","False","이 상품은 좋은거 다들 알거에요
환절기나 건조할때 두툼하데 발라주면 바로 피부가 개선되는게 느껴져요"
"4","2026.04.10","트러블성","겨울쿨톤","트러블, 블랙헤드, 피지과다","False","피부과에 갔다오고 나서 재생크림을 바르면 좋다고 했는데 수분크림 밖에 없어서 급하게 시켰어요 얼굴 엄청 붉은기가 심했는데 살짝 얹듯이 도톰하게 발라주니까 가라앉았어요🤍

단점은 펴 바를때 선크림처럼 백탁이 생겨서 진정용으로는 그냥 듬뿍 발라서 냅두는데 평상시에 쓸때는 수분크림이랑 섞어써야할거같아요😓 그리고 기름져서 지성분들이 평상시에 쓸땐 섞어바르거나 조금씩만 발라야할거같아요ㅎ 저도 수부지라 그렇게 해야하나 고민중... (+용기 입구가 너무 불편함ㅜ)

3-4일정도 세수하고 수분크림 바르고 수분크림이랑 섞어서 발랐는데 트러블도 딱히 안났고 진정효과가 큰거같아요💊"
"5","2026.04.03","지성","쿨톤","잡티, 각질","False","꾸준히 써보고 리뷰 남겨요 진정, 피부 보습으로 최고
근데 극 지성인분들 지성인분들은 소량으로 바르세요! 극 지성분들도 추천 . 

피부타입: 여름쿨톤+여드름 잘 생건됨+피지생성 잘되는 중성 예민한 약한피부+모공큼+피부 붉은 자국? 있음
피지연화제 잘 못 쓰고 피지제거제 도구 병행해서
피부톤이 붉은 자국이 고정되게 생겨서 노답이였는데
이거랑 클레어스 블루병 라인 같이 병행하고
아무래도 식습관 및 생활습관때문에 여드름때문에
그거 파티온(다x소)꺼 같이  쓰니까

몰라보게 피부가 좋아짐 피부가 속부터 보들보들하다고 할까요?
애기피부같은 질감됨
피부 예민한분들은 이거 쓰세요 저는 얼굴에 남은량 손등에도 바르는데 손도 되게 부드러워져서 만족
다 쓰면 큰거 사볼려고요 왜 유명템인지 알겠음 😭😭
너무 유명템이여서 그냥 극건성분들 용인줄 알고 안 샀는데 진작에 살걸 후회
        
        
              
                ... 더 보기"
