rating,date,skinType,skinTone,skinTrouble,repurchase,content
"5","2026.04.05","","","","False","탄력이 부족해 보이는 날 마무리 단계에 발라주면 피부 표면이 조금 더 탱탱하고 정돈된 느낌으로 보여 만족스러웠어요. 지나치게 번들거리지 않고 쫀쫀하게 밀착되는 사용감이라 꾸준히 쓰기 괜찮았습니다"
"5","2026.04.09","건성","봄웜톤","잡티, 미백","False","🔸사용후기 
: 나이가 들면서 아무리 관리를 해도 기능적으로 효능이 있는 제품들을 이제는 찾게 되더라구요. 
저는 40대가 되면서 피부노화가 늦게 찾아온 편이지만, 요즘은 이런 기능성 제품을 사용하니 비교적 관리가 잘된 편이라 자부합니다.

바이오힐보 제품은 다른 라인을 사용해보다 만족스러워서  리프팅 제품도 구매해보았어요. 발림성은 좋고, 살짝 쫀쫀하게 피부 위에 안착시키고 흡수시키니, 
✅탄력부분에서는 피부처짐도 덜하고, 
✅피부처짐이 덜하니 주름도 덜 생기고, 
✅리프팅은 위 두가지의 모습으로 효과가 충분히 있다고 봅니다.

누구나 노화는 옵니다. 
다만 잘 관리해서 늦추며 좀더 아름답게 맞이할지, 
신경안쓰고 노화를 확 한방에 맞이할지는 본인의 생활습관과 관리로 인함도 있다고 봅니다. 

저는 평소에 잘 관리하면 남들보다 훨씬 늦출 수 있다고 생각해요. 좋은 제품으로 잘 관리해보겠습니다.
        
        
              
                ... 더 보기"
"5","2026.04.06","","","","False","바이오힐보 프로바이오덤 3D리프팅크림 좋아요

✅한겨울 및 환절기에 건성 피부라 꼭 쟁여 놓는 상품이예요

✅꾸덕한 제형의 크림이라 보습력이 좋아요

✅흡수력:적당해요

✅보습력: 좋아요

✅메이크업 전애 바르면 화장 밀리지 않아 좋아요
        
        
              
                ... 더 보기"
"5","2026.04.13","","","","False","리프팅 효과를 기대하며 구매했는데 꾸준히 사용하니 피부가 더 쫀쫀해진 것 같아서 좋아용"
"4","2026.04.08","민감성","가을웜톤","잡티, 각질","False","리프팅크림 필요해서 구매해봤어요.
꾸덕한 크림인데요. 마무리감은 무겁지 않고
촉촉 뽀송하게 올라가요~ 
한통 잘 써보고 한달리뷰 써봐야겠어요."
"5","2026.04.07","복합성","웜톤","잡티","False","탄력 리프팅 크림이라 그런가 뭔가 발림성이 쫀쫀합니다. 효과 기대하는중.."
"5","2026.04.07","민감성","가을웜톤","잡티, 각질","True","리프팅 크림이라 구매한건데 효과 기대하며 꾸준히 쓰는중입니당"
"5","2026.04.07","민감성","가을웜톤","잡티, 각질","True","엄마선물 사는김에 시어머니 선물로도 사드렸던 제품입니당"
"5","2026.04.07","민감성","가을웜톤","잡티, 각질","False","지인 선물로 해줬는데 마음에 들어 했어요. 저도 한번 써보고 싶네영"
"5","2026.04.06","복합성","웜톤","잡티, 주름","False","저번에 사고 효과가 괜찮아서 하나 더 구매했습니다. 잘 쓰고 있어요."
"5","2026.04.06","","","","False","악건성인 제피부엔 괜찮은거 같라요 모공 탄력에 도움이 되는거 같아요 만족합니다 꾸준히 써보고있어요"
"5","2026.04.06","","","","True","악건성이 제피부에 아주 잘맞는거 같아요 모공탄력에 도움이 되겟죠?꾸준히 써볼려구여 만족합니다"
"4","2026.04.05","건성","쿨톤","잡티","False","전에 쓰다가 다시 재구매 했어요 봄 가을 쓰기 좋아요 
무난하게 쓰기 좋아요"
"5","2026.04.01","지성","웜톤","미백, 주름","False","빠른배송 감사합니다 
 화장품 구매 했어요
오늘도 좋은하루되세요"
"5","2026.04.14","","","","False","샘플 넉넉하게 들어있어서 기분이 좋네요
향기도 너무 맘에 들어요"
"5","2026.04.12","지성","","각질, 트러블","False","이런 고기능 크림은 저랑 안맞다고 생각했는데
보이오힐보 라인은 모두 좋은거 같아요. 
모공비우고 채워쥬기할때 좋은 제품이에요."
"5","2026.03.11","건성","봄웜톤","잡티, 미백","False","🔸바이오힐 보 프로바이오덤 3D리프팅크림 
: 나이가 들면서 아무리 관리를 해도 기능적으로 효능이 있는 제품들을 이제는 찾게 되더라구요. 
저는 40대가 되면서 피부노화가 늦게 찾아온 편이지만, 요즘은 이런 기능성 제품을 사용하니 비교적 관리가 잘된 편이라 자부합니다.

바이오힐보 제품은 다른 라인을 사용해보다 만족스러워서  리프팅 제품도 구매해보았어요. 발림성은 좋고, 살짝 쫀쫀하게 피부 위에 안착시키고 흡수시키니, 
✅탄력부분에서는 피부처짐도 덜하고, 
✅피부처짐이 덜하니 주름도 덜 생기고, 
✅리프팅은 위 두가지의 모습으로 효과가 충분히 있다고 봅니다.

누구나 노화는 옵니다. 
다만 잘 관리해서 늦추며 좀더 아름답게 맞이할지, 
신경안쓰고 노화를 확 한방에 맞이할지는 본인의 생활습관과 관리로 인함도 있다고 봅니다. 

저는 평소에 잘 관리하면 남들보다 훨씬 늦출 수 있다고 생각해요. 좋은 제품으로 잘 관리해보겠습니다.
        
        
              
                ... 더 보기"
"5","2026.02.28","","","","False","✅바이오힐보 프로바이오덤 3D리프팅크림 좋아요

✅한겨울 및 환절기에 건성 피부라 꼭 쟁여 놓는 상품이예요

✅꾸덕한 제형의 크림이라 보습력이 좋아요

✅흡수력:적당해요

✅보습력: 좋아요

✅메이크업 전애 바르면 화장 밀리지 않아 좋아요
        
        
              
                ... 더 보기"
"5","2026.04.04","","","","True","순하고 보습 좋고 쫀쫀해서 매우 만족하며 쓰는 크림이에요^^"
"5","2026.03.18","지성","쿨톤","잡티","False","끈적이지 않고 깔끔하게 마무리돼요 요즘 데일리로 쓰는 크림입니다~향도 무난무난~"
"5","2026.03.18","지성","가을웜톤","잡티, 주름","False","은은한 광이 돌아서 피부 표현이 좋아요

건조한 부위에 집중 케어하기 좋아요"
"5","2026.03.09","","","","False","구성도 괜찮고 세일 할 때 구매 해서 만족해요요
꾸준히 사용 해 볼게요"
"5","2026.02.28","복합성","쿨톤","잡티, 트러블","False","건성이신 어머니께 한번 사드려봤더니 괜찮다고 해서 한 두세번째 재구매하는 크림이에요! 저녁에 바르기 좋고 제형이 되직한데 좋은 거 같다고 하네용"
"5","2026.02.24","민감성","봄웜톤","잡티, 트러블","False","이 제품 초반에 나왔을때 부터 썼었는데 매년 금액이 조금씩 오르면서 다른제품으로 갈아탔는데 마침 장영란님 행사로 인해 다시 두세트 쟁였네요 ㅎ
수부지 피부라서 유분감많은건 안썼는데 이 제품은 기초 수분 토너나 앰플로 잘 흡수 시켜주고 마지막에 바르면 진짜 다음날 까지 촉촉하고 광나더라구요 ㅋ
특히 겨울이나 밤에 쓰길 추천드리고 두드려서 흡수시키지 않으면 화장 밀릴수 있어요 ㅋ 그리고 한달 이상 꾸준히 쓰니까 모공도 조금씩 탄력을 찾아가긴 했는데 안쓰면 다시 돌아와서 꾸준히 오래쓰셔아 효과 있음 ㅋㅋ
이가격에 이정도면 집에 다른 크림 있는데도 쟁여둘만합니다 ㅋㅋ"
"5","2026.02.20","복합성","봄웜톤","주름, 블랙헤드","False","바이오 힐보 리프팅 크림 좋은 기회에 구매 해 보았습니다. 
마침 크림이 딱 떨어졌는데 아주 타이밍이 좋았어요.
최근 거울을 보면서 굉장히 얼굴이 나이 들어감이 보였고 
칙칙 하고 이마 잔주름도 좀 신경쓰이던 참이었어요.
우선 후기를 보았을때 크림이 기름 지다고 하였는데 
제 얼굴과 제 피부에는 그렇게 기름짐을 느끼지 못 하였어요.
저는 딱 중간정도의 텍스처 와 농도로 느껴졌습니다.
아니면 제 피부가 정말 정말 건조한 것 같아요 ㅎ 
단지 형이라 사용 하기에는 조금 번거롭긴 하지만 
목에도 바르고 리프팅 밴드도 사용해서 
하안부 리프팅에 도움이 되는지 지켜 봐야겠어요. 
기대가 됩니다!
        
        
              
                ... 더 보기"
"5","2026.02.19","","","","False","저는 장영란 언니 유튜브에서 디바이스제품.특히 화장품 제품은 무조건 구매해서 사용해봐요 좋은제품을 너무 착한가격에 구매할수있어서 너무 감사하게생각해요 네고하느냐 영란언니 슬기언니 새롬언니 너무 고생하셨어요 ㅎ 덕분에 좋은제품쓰고 (바이오힐보) 브랜드도 알게되었구 방송보자마자 바로구매완료 ㅎ

향은 은은하며 제형은 크림타입답게 묽지않아요 건성.복합성.지성분들도 모두 사용해도 될만큼 너무 끈적이지도않고 수분감좋고 너무 좋아요 저녁에 바로 (바이오힐보) 바르고 디바이스 돌렸어요 피부속으로 쏙쏙 스며들면서 너무 좋아요 하나가격에 리필하나더주고 1*1총 4개가 58000  이가격 안사면 바보 ㅎ . 명품 다 써봤는데  명품화장품 보다 저는 더 좋아요 크림 얼마전 현대홈쇼핑에서 구매한 화장품 저랑 안맞아서 잘안쓰고있었는데  바이오힐드가 제화장품 라인에 맨 앞자리차지♡ 영란 언니 덕분에 이렇게 (바이오힐보) 브랜드 입력완료 ♡  다쓰고 또 무조건구매
할인계속해주세요^^^"
"5","2026.03.27","","","","False","애정하는 바이오힐보 브랜드. 언젠가 탄력크림을 알게되곤 텀엔 유뷴기가 많다 생각하다 탄력에 좋다는걸 몸소 체험하게 된 후로 뀨준히 구매합니다. 막 드라마틱한 효과보다는 탄탄히 차오르는거같고 보습에도 좋아 늘 애용해요 특히 리필같이 들어잇는거 넘 좋아요"
"4","2026.03.23","건성","봄웜톤","탄력","False","같은라인 크림이랑 같이쓰면 더 좋아요
꾸덕한 제형이지만 얼굴에서는 부드렇게 발려요"
"5","2026.03.18","건성","웜톤","잡티, 주름","False","40대 중반 30대 후반 부부 같이 사용하고 있어요.
일단 잔주름이 더 이상 늘지 않아 흡족하고 건성이 심한 저는 아침저녁으로 사용하는데 당김 과 건조함이 많이 개선되었어요^^"
"5","2026.02.26","","","","False","탄력뿐아니라 주름에도 효과가 있는거같아요
근데 탄력에 효과가 엄청 좋은거같아요
완전 만능크림입니다"
"5","2026.03.12","복합성","여름쿨톤","미백, 주름","False","만족도 : 5점 만점 중 5점!⭐️
버터같은 크림 제형. 꾸덕쫀득하게 발림
막 스며들고 산뜻해지는 느낌이 아니라 쫀득끈적하게 크림이 올라간 느낌으로 마무리가 됩니다 올해 겨울, 너무 건조했을때 이 크림 도움 많이 받았어요

가끔씩 꾸덕한크림을 귀찮다고 냅다바르면 건조한건 아니지만 피부가 촉촉하거나 부드러운 느낌이아니라 좀 아픈(?) 느낌이 있었거든요 근대 이 제품은 그런 느낌 전혀없어서 가끔 귀찮으면 스킨,세럼 이런거 안바르고 냅다 크림만 바르고 자기도 합니다 수분 • 유분 둘다 충족시켜주는 크림이라고 생각해요

근대 이 크림 진짜 저는 마음에 들고, 주변에서 추천 많이해줘서 지금도,앞으로도 자주 사용할 것 같아요 추가로 한마디 더해보면 같이오는 리프팅밴드 팩(?!) 그거 진짜 뭔가 얼굴이 짝 달라붙는 느낌이나서 좋은데… 증정상품으로만 팔지말고 그냥 팔아줬음 좋겠어요🥺
        
        
              
                ... 더 보기"
"5","2026.02.25","지성","웜톤","잡티, 각질","False","엄마가 먼저 써보고 너무 좋다고 해서 재구매하게 된 제품이에요. 한 통을 다 쓰고 또 사달라고 할 정도로 만족도가 높아서, 기획 세트로 나왔을 때 리필까지 같이 챙겨서 구매했어요.
사용해보니 전체적으로 보습력이 좋고, 피부가 건조하지 않게 편안하게 유지되는 느낌이었어요. 무겁지 않으면서도 촉촉함이 오래가서 데일리로 쓰기 괜찮은 크림이에요.
건조함 잡아주고 기본 보습 탄탄하게 채워주는 크림 찾는 분들께 추천할 만한 제품입니다."
"5","2026.02.21","건성","쿨톤","잡티, 주름","False","A급 장영란 채널 구독자입니다~
믿고 구매해보았고요,
우선 빠르고 정확한 배송이었습니다.
바이오힐보 제품을 처음 쓰는데 전에도 탄력으로 유명하다는 건 알고 있었습니다!
우선 나이가 들어 잔주름이 늘어나고 탄력이 부족해지는 와중에 구매할 수 있어 좋았습니다.
평소에 스킨 케어 제품을 무거운 제형으로 사용해왔기에
바이오힐보 크림이 무겁게만은 느껴지지 않네요^^
오히려 저한테는 산뜻한 느낌입니다.
향은 호불호 갈릴 것 같은데 저한테는 쎄게 느껴지지 않았습니다.
흡수도 나름 빠르고 2번 정도 흡수 시킵니다~
피부 타입이 건성에 민감성인데 아직까지 트러블 나지 않았고, 제품도 순한 것이 너무 빨리 쓰지 않을까 걱정이 됩니다~
꾸준히 써서 탄력에 효과가 있길 바라면서~
잘 맞으면 재구매 할래요~
        
        
              
                ... 더 보기"
"5","2026.02.20","민감성","여름쿨톤","잡티","False","장영란 언니 영상 보고 궁금해서 바로 구매했어요 ㅎㅎ 솔직히 반신반의했는데, 직접 써보니까 왜 좋다고 했는지 알겠더라고요.
처음 발랐을 때 느낌이 진짜 부드러워요. 손에 덜면 살짝 쫀쫀한가? 싶은데 막상 피부에 펴 바르면 사르르 녹듯이 발려서 전혀 무겁지 않아요. 겉도는 느낌 없이 피부에 착 붙는 느낌이라 바르면서도 기분이 좋았어요.
그리고 제일 마음에 들었던 게, 바르고 나서 답답함이 없다는 거예요. 끈적임 거의 없는데 속은 촉촉하게 채워주는 느낌? 시간이 좀 지나도 건조하게 당기지 않아서 더 만족스러웠어요. 요즘처럼 건조한 날씨에도 괜찮을 것 같아요.
향도 진짜 은은해요. 인위적으로 강한 향이 아니라서 부담 없고, 바를 때마다 괜히 기분 좋아지는 향이에요. 전체적으로 데일리로 쓰기 딱 좋은 느낌이라 요즘 자꾸 손이 가네요. 일단 첫인상은 완전 만족이에요 😊"
"5","2026.02.20","트러블성","여름쿨톤","잡티, 트러블","False","수분크림보다는 리치한 제형이라서 건성이나 건조한 날씨에 잘 어울릴 것 같은 크림이었습니다 바이오힐보의 특허 성분이 들어가 있어서 탄력과 주름개선에 효과적이라고 적혀있는데 꾸준히 사용했을 때 피부의 치밀도가 살짝 올라간 느낌이라서 이번 기회처럼 세일행사를 많이 할 때 쟁여두고 가을 겨울마다 사용해주기 좋은 제품이라는 생각이 들었습니다 그리고 개인적으로 스킨케어는 향에 조금 민감한 편인데 무향은 아니지만 거슬리는 향이 아니라서 사용하면서 크게 불편함을 느끼진 못했습니다"
"4","2026.04.15","","","","False","겨울에 사용하면 속건조에도 좋은것 같아요. 근데 한여름은 부담스러울것 같아요."
"4","2026.03.23","복합성","여름쿨톤","잡티, 미백","False","구매 후 잘 사용중입니다
크림이 무거운타입이라 사용 후 건조 하지 않아서 좋습니다
탄력효과는 티가 안나는거 같네요"
"5","2026.03.06","","","","False","세일할때 잘산것같아요
저보다 이번엔 엄마 선물용으로 샀어요"
"5","2026.04.06","복합성","웜톤","미백, 모공","False","크림중에서 바르고나면 피부 속까지 촉촉하다는 느낌을 주는 몇 안되는 제품입니다
주름이 펴지고 등등은 모르겠어요
그냥 촉촉하고 유분이 많은 편인데 그게 과하지 않고 기분좋게 발려요
장영란 이벤트할때 바이오힐보  크림에 입문해서 지금은 세럼도 쟁이고 있어요 ㅎ
좋은제품 알게되서 기쁘고 좋은제품 만들어주셔서 감사해요."
"5","2026.04.05","트러블성","봄웜톤","잡티, 트러블","False","진짜너무좋네요 최고ㅜㅜ 바이오힐보 제품력 좋은건알고있었는데 우연히 올영매장 들렸다가 너무좋고 세일해서 샀네용
발림성 너무좋구여, 향도왜이렇게 좋을까요 바르는순간
기분좋아지는 향에 취하고, 슥슥 피부에 밀착되서 한번더취하고
흡수력도 너무좋아서 피부에 닿자마자 흡수되서 얼굴이 펴지는
기분이바로듭니당 저녁엔 듬뿍바르고 아침에 건조하면 조금
도포해서 화장하기도하면 너무좋을것같아요 피부가숨쉬는것
같아서 너무좋은제품 오랜만에 잘산템 됫습니당 실패없는제품
무조건세일때 사야되는제품으로 베스트 리스트 됫습니당"
"5","2026.04.03","지성","","","False","■구매하게된 계기■
사실 이제품을 사게 된 계기는 따로있어요.
친구가 샘플로 써보라고 줬었는데
아무생각없이 썼었죠. 근데 너무 촉촉+쫀쫀한거에요
딱히 피부가 가렵다거나 좁쌀이 올라오지도않고
완전 영양감있으면서도 부족한부분 채워주는느낌이라
본품 구매해봤어요.

■제형■
제형은 일단 영양감이 많이느껴지는
완전 묵직+꾸덕+버터느낌의 제형이에요
단지 안에서 모양을 유지할정도의 꾸덕함이에요

■발림성■
마치 꼬덕한 버터느낌이라, 이게 잘 펴발릴까..?
싶은데 나름 잘 펴발라져요.
하지만 엄청나게 샤라락 촥!하고 펴발라지진않아요
그냥 딱 구덕한 버터크림을 빵위에 바를때
처음엔 잘 안펴지지만, 손의 온도를 이용해서
잘 펴발라주면 잘 발라지는 정도입니다.
그렇다고 김정문알로에의
김정문알로에 큐어 인텐시브 2X 크림처럼
엄청나게 꼬덕한 연고타입은 절대 아니에요.

■피부타입 어떤스타일인가요?■
제 피부타입은 각질 많이 올라오는 수부지에요.
U존 : 각질 올라오면서 건조 텁텁함
T존 : 유분기는 많은데,수분은 부족. 각질 개올라옴
이마 : 기름기 좔좔;; 앞머리까지 있으니까 더답답
이런 피부타입에,
턱이랑 코옆망울쪽은 옛날에 약 잘못발랐다가
피부장벽 무너져서 좁쌀,수포가 엄청 잘 재발합니다.
열이 확 오르거나 안맞는 화장품 쓰면
코옆망울과 턱에 좁쌀같은 수포 엄청 올라오고
피부열을 항상 내려줘야하고, 모공이 넓고
탄력없는 피부타입입니다.

■사용후기■
이게 확실히 제가 수부지다보니까
속수분을 채워줄수있는 히알루론산 앰플류를
많이 사용하곤 했었는데요.
이런 앰플,세럼제품만으로 뭔가 만족감이
채워지지않는것같은 날이 있더라구요.
평소쓰던제품을 써도 ""음..오늘은 잘 안먹네""
""오늘은 좀 흡족하지 못하네..""싶은 날이 있잖아요?
그럴때 가끔가다 유분기 있는 크림제형제품을 바르면
피부가 부족한 영양감을 쫙 흡수해서 완전 보들보들
해지는 경우가 있어서 간혹가다 유분기있는 크림을
사용하는데요. 이제품은 진짜 겉으로보면 기름지고
엄청 답답하고 그래보이는데, 막상 사용해보면
진짜 영양감 쫙 채워주면서 탄탄부들하게 만들어주는
느낌이에요.
열감있을때 발라도 딱히 좁쌀이 올라온다거나
답답하다거나 그런느낌은 전혀 없었어요.
사용감은 일단 완전 합격입니다.
이제는 장기간 사용해보고 이제품에서 설명하는
탄력, 모공 등 개선효과까지 보인다면 재구매하려구요!

■개인적인 사용TIP■
세안하고 바로 바르는것보다는,
미끄덩거리지않는 가볍고 촉촉한 미스트로
속수분 쫙쫙 먹여준 뒤 다 흡수시키고나서
발라보세요. 완전 피부 부들부들..너무좋아
        
        
              
                ... 더 보기"
"5","2026.03.04","","","","False","이 제품은 아주 기본적인 크림 제형인데, 특히 건조한 피부에 딱 맞는 보습감도 유분을  주는 것 같아요. 제형 자체가 그릭요거트처럼 꾸덕하고 유분기가 있어요. 건성피부 겨울철에 아침저녁으로 바르기에 부담 없고, 특히 겨울철에 건조함이 심한 분들께 추천하고 싶어요. 장영란 ㅇㅌㅂ채널에 특가로 나와서 또 챙였어요. 건성분들은 크림은 한달에 한통은  다 쓸수 있잖아요.리뷰 올릴 때 착한 가격은 지났지만 ㅅㅅ매장  픽업할 때  1층에서 팝업한다고 할인도 들어가고 증정품도 많이 챙겨준다고 하네요."
"5","2026.02.26","복합성","웜톤","미백, 모공","False","올리브영에서 샘플 써보고 좋아서 사려고 맘 먹었는데 세일까지 해서 냅다 2세트 샀네요
건성인데 히터때문에 고생고생하고 있습니다 수분크림 오일 미스트 다 건조해서 우울했는데 바이오힐보 바르니까 유분막이 씌워져서 살만하더라구요
꾸덕한데 촉촉합니다.
탄력도 생기길 바라며 한달 후 후기 써볼게요"
"5","2026.02.25","복합성","겨울쿨톤","미백","False","제형은 묽지않고 도톰한 크림 타입이라 피부에 올렸을 때 보호막이 생기는 듯한 느낌이 들어 건조한 날씨에 특히 만족스러웠어요
처음 바를 때는 좀 리치한가 싶은데 계속 비르다보면 피부에 밀착되듯 흡수되면서 겉돌지 않고 편안하게 마무리되는 사용감이에요
시간이 지나도 당김이 심하게 올라오지 않아 장시간 보습 유지가 필요한 날에 잘 맞았고, 피부 컨디션이 푸석하거나 탄력이 떨어진 느낌이 들 때 사용하면 좀 더 쫀쫀하게 정돈되는 느낌을 받을 수 있었어요
메이크업 전이나 아침보단 저녁에 발라주고 있고 홈케어 디바이스 기기랑 사용하기 더 좋았어요!"
"4","2026.02.21","","","","False","끈적임없고 적당히 꾸덕하고 좋아서 1차 만족
과하지 않은 향기가 나서 너무 좋아요 
●탄력1등 바이오힐 보● 
타이틀 믿고 꾸준히 사용해보려고 합니다
특급행사가로 구매한 거라 가격면도 대만족
구성품도 아주 넉넉해요 50ml 본품,리필포함 2개
증정 하안부 밴드 5장까지
스파츌러가 없어서 아쉽지만요"
"5","2026.04.10","","","","False","이거 리프팅 밴드 좋았어요 크림도 엄마 생일선물로 드리기에 좋음"
"5","2026.04.04","","","","False","파이오 힐보 크림 탄력에 좋다고 해서 구매해봤어요. 기름지고 살짝 유분기 있어서 건성 피부에 좋은 것 같아요"
