rating,date,skinType,skinTone,skinTrouble,repurchase,content
5,2026.05.17,민감성,쿨톤,잡티,FALSE,"악건성-건성 오가는 피부고 요즘에는 양볼이 많이 예민한 편인데, 자극없고 질감•흡수•보습•마무리감 등 전반적으로 좋은 것 같아요."
1,2026.05.15,복합성,겨울쿨톤,"각질, 트러블",FALSE,"너무 기름져서 모낭염나요
속건조도 잘 못잡아줘요 그냥 피부에서 겉돌아요"
5,2026.03.26,복합성,쿨톤,"잡티, 주름",FALSE,"임신하고 화장품 바꿔야한대서 구매해봣어요! 
잘 써볼개요!!"
5,2026.05.08,지성,웜톤,"주름, 블랙헤드",FALSE,"후기가 좋아서 처음써 봤는데 너무 잘쓰고있어요
굿굿 ㅋㅋㅎ"
5,2026.05.03,복합성,봄웜톤,"잡티, 트러블",FALSE,"복합성 지성 피부가 쓰기에도 좋아용 ㅎㅎ
최애 수분크림이라 한 통 다 쓰고 구매한 제품이에요!"
5,2026.05.06,,,,FALSE,발림성 좋네요. 구 적 거리지 않고 바로 스며들어서 마음에 들어요. 겉 돌지 않아요.ㅎㅎ
5,2026.05.09,,,,FALSE,"너무 순하고 보습이 좋아서 완전 맘에 들어용 ㅎㅎ
꼭 사세용."
2,2026.04.29,복합성,웜톤,트러블,FALSE,"pdrn은 절대 화장품으로는 흡수안되니 , 그거때문에 구매하시는 분은 없길바래요. 저는 한달 여행 앞두고 컴팩트하고 성분 무난한 크림 필요해서 샀습니다. 파우치에 들어갈 얇은게 필요한데, 대부분 80미리 100미리짜리 뚱뚱한 크림들이어서요. 
무난해요."
5,2026.04.08,복합성,봄웜톤,"잡티, 미백",FALSE,"자극 없고 보습 엄청 잘해주는 크림 🫰🏻
엄마 추천으로 쓰게 됐는데 벌써 재구매해서 3통째에오
단지형 크림 퍼서 쓰는거 진짜 시러하는데 이런 연고같은 입구 너어무 편하고 좋아요 !!🩷
제피부가 PDRN이랑 잘맞아서 그런지 데일리템으로 아주 잘쓰고 있답니다ㅏ
가성비도 좋은 거 같아요 ☺️"
5,2026.05.01,,,,TRUE,"너무 괜찮아서 가족에게 나누어주고 다시 구매했네요 ㅎㅎ 
저번에 산거 진작에 다 잘 쓰고 하나 더 샀어요 
단독으로 바르기에 겨울에는 살짝 가볍고
여름에는 살짝 무거워서 환절기에 딱 잘 쓰고 
겨울에는 다른 로션이나 크림 바르기 전에 덧바르는 용도로 사용하면 좋아요
( 참고로 저는 복합성인데 여름에 복합지성 겨울에 복합 건성 이예요 )"
5,2026.05.11,,,,FALSE,사은품을 받고 너무 잘 맞아서 본품도 샀어요 아주 잘 쓰고 있습니당
5,2026.04.19,,,,FALSE,수분감이 정말 좋아서 바르자마자 피부가 촉촉해지고 윤기가 돌아요. 가볍게 흡수돼서 끈적임도 없고 데일리로 쓰기 좋아요. 다만 건성 피부에는 조금 부족할 수 있어요. Overall 만족합니다 😊
5,2026.04.15,건성,봄웜톤,"잡티, 미백",FALSE,너무 무겁지 않은 밀착형 크림 제형입니다. 겉돌지 않고 피부에 착 붙어서 화장 전에 발라도 밀림 현상이 없었어요. 유명해서 사봤는데 잘 쓸거 같아요.
5,2026.03.23,복합성,웜톤,"잡티, 미백",FALSE,PDRN 크림으로는 번들대지도 않고 끈적임도 없어서 아침 저녁으로 쓰고있어요 순해요
5,2026.04.02,복합성,가을웜톤,"주름, 각질",FALSE,"안녕하세요 ~~~
매일 매일 아침 저녁에 세수하고 잘 싸용하는 제품이에요~ 진정하기에도 보습에도 좋아요~ 제가 또 화장 하기전에도 사용해요. 화장하기전에 써보니깐 화장이 더욱 오래 가고 화장품이 예날만큼 갈리지지 않은 촉촉한 느낌 있더라구요 🥰 잘 쓰고 있어용💜"
5,2026.05.16,건성,,"잡티, 미백",FALSE,"거울을 보니 이마에 목에 이 주름이 있더라구요ㅠㅠ 관리를 한다고 한건데 부족한거 같길래 속부터 케어 할수있는 그런 크림을 찾고있었는데 너튜브에 연예인들이 아누아꺼를 쓰고 계시더라구요 그래서 당장 매장 달려가야겠다 싶어서 갔는데 넘 비싸서 못샀지 뭐예요ㅠㅠㅠ 그래서 신랑에게 내 생일선물로 이거 사달라고 했더니 바로 가서 사라하길래 사서 다음날 바로 써봤는데 와 진짜 좋았어요
제형도 가볍고 흡수도 정말 빨랐고 속까지 쫀쫀하더라구요 밀림도 하나 없고 이거 바르고 화장하면 하나도 안뜨는게 신기했습니당ㅎㅎ 다쓰면 재구매 갑니당ㅎㅎ"
5,2026.05.08,민감성,쿨톤,"잡티, 미백",TRUE,잘바르고있는제품 아침용 으로 잘 바름 70대중반 피부도 잘 바르고 있음
5,2026.04.17,복합성,가을웜톤,,FALSE,수분감 짱짱하고 보습도 괜찮아요. 근데 자기 전에 바르면 얼굴에 번들번들 올라오는 감이 있는 것 같아서 자기 전에 바르는건 지성이신 분들에게는 비추해요. 아침에 진짜 조금 짜서 코팅해주는 것처럼 발라주고 선크림 올리면 화잘먹 피부 돼서 잘 사용하고 있습니다ㅎㅎ
5,2026.05.15,,,,FALSE,히알루로산 수분크림 건성피부에좋고 피부에자극없고 좋아요 굿굿굿
