rating,date,skinType,skinTone,skinTrouble,repurchase,content
"4","2026.04.08","민감성","쿨톤","잡티","False","요즘들어 올리브영 상품들이 쓸데없는 것들을 많이 끼워놨네요 키링같은거 껴놓을 바에 샘플이나 더 넣어주세요 그리고 모델이 뭔 ㅅㅅㄱ? 원래 쓰던 크림이라 산거지 모르는 상품인데 ㅅㅅㄱ이 광고한다? 구매욕 훅 떨어져요"
"5","2026.04.08","중성","여름쿨톤","잡티, 블랙헤드","False","발렌 파우치 욘나 귀여움 앙💙💙 수분크림 자체는 무난한가 싶으면서도 무난보단 이상인? 수분 잘 채워주는 크림 같어요
이 박스엔 성시경씨가 없어서 다행이에요"
"5","2026.03.27","건성","웜톤","주름, 트러블","True","고민되는 분들을 위해 찐심을 담은 리뷰입니다⭐️

악건성 피부 타입이라 사람들이 극찬하는 제품을 써도 거의 대부분 실패해서 속건조가 너무 고민이었던 사람이에요 
지긋지긋한 속건조를 잡아줄 제품을 계속 찾아다니다가 에스네이처를 발견했는데 광고가 많아서 무한 고민 끝에 그냥 반신반의 하는 마음으로 구매했어요 

제형은 너무 묽지 는 않지만 악건성인 제 기준에서는 되직하고 무거운 제형이 아니라 서 묽다고 느꼈고 되직한 제형을 써야지만 속건조가 잡히는줄 알았어요 그런데 정말 과장없이 하루 발랐을뿐인데 속건조가 느껴지지 않았어요!!!!! 발랐을때 끈적임 없이 바로 흡수되면서 피부에 수분이 꽈악 채워진 느낌을 받았어요 이번 기회로 저는 제형에 편견을 갖고 있었구나.. 느끼게 해준 크림이에요 결정장애라 이거 구매하기까지 도 몇달 동안 내내 고민하고 겨우 구매했는데 써보고 왜 이제야 샀을까.. 증말 후회했었어요

고민은 배송만 늦춘다!!! 정말 너무 좋아서 저처럼 악건성으로 고민하고 힘들어하는 사람들에게 조금이 나마 도움이 되고자 후기 작성해요 긴 글 봐주신 분들 정말 감사해요 제 글이 도움이 되셨다면 아래에 도움이 됐어요 엄지버튼 꾹 눌러주시면 감사하겠습니다..🫶🏻
        
        
              
                ... 더 보기"
"5","2026.04.02","건성","웜톤","잡티, 미백","False","수분천재크림과의 인연은 작년 성시경님 팬미팅에서였는데요
그때 나눠주신 크림 써보고 쫀득쫀득 너무 좋아서 애용하고 있었어요

그리고 없어질만 하면 또 생기고 또 생기고 징글징글 말 안듣는 사춘기 여드름에 수분천재크림 꾸준히 발랐더니 어느 순간 쏙 들어갔어요
한창 외모에 관심 많은 사춘기 소녀 마음에 쏙 들어온 
수분천사 수분천재크림 너무 너무 순하고 좋습니다👍"
"5","2026.04.08","지성","여름쿨톤","주름, 탄력","False","판매자에게 제품비의 일부를 지원받았지만, 저의 솔직한 후기입니다.

이번에 성시경 님도 새 모델로 들어왔고 콜라보도 한다고 하길래 구매해 봤어요. 항상 쓰던 에스네이처 스쿠알란 크림이라 별 감흥은 없는데요. 6월 전까지 잘 쓸 것 같고 기름 잡아주는 데 도움이 됩니다."
"5","2026.04.01","","","","False","써보기전에도 명성은 익히 알고 있었는데에스네이처 모델이 된 성발라의 팬미팅에서 에스네이처를 알게 된 이후, 계속 재구매하는 정착템이 되었어요. 저는 중성 피부인데, 자극없이 끈적거리지 않게 수분 충전이 잘 되어서 편하게 쓰기 좋아요. 실제로 누가 저한테 수분크림을 추천해달라고 하면 부담없이 소개해줄 정도로 좋은 제품이에요."
"5","2026.04.09","민감성","웜톤","블랙헤드","False","이제는 없으면 안되는 인생 수분크림
1+1만되도 좋은데 발렌콜라보 뭐오죠?🩵🩵🩵
아주 유용하게 잘 쓸 거 같아요 기획 추천합니다"
"5","2026.04.02","","","","False","반짝반짝 실버튜브형 수분크림 원플원 구성이라니 지나칠수 없잖아요. 무엇보다 발렌과 콜라보! 추억소환하는 아련한 파우치가 정말 예뻐요. 오랜만에 보니까 반갑네요. 

피부가 건성이라 봄가을은 물론이고 여름철에도 크림을 신경써서 바르는 편인데요. 보통 수분크림은 너무 묽어서 금새 휘발되는점이 아쉬웠고 리치한크림은 뻑뻑한 감이 부담스러웠다면,  스쿠알렌 수분크림은 제형이 적당히 부드러우면서 쫀득하네요. 균형이 잘 잡힌 수분크림이에요. 발림성이 촉촉해서 좋아요. 무향이라 깨끗하게 바를수 있고요. 순해서 무척 마음에 들어요. 

모델 성시경과 캐릭터 발렌처럼 청량하고 깔끔한 이미지와 잘어울리는 수분크림세트 득템해서 뿌듯해요."
"5","2026.04.08","건성","여름쿨톤","트러블, 홍조","False","한 통 다 비웠던 제품인데, 너무 좋아서 이번에 1+1 기획 구성 좋아서 구매했어요!

수분&유분이 적절하게 잘 섞인 느낌인데 제형이 너무 좋아요. 너무 무겁지도, 너무 가볍지도 않은 제형인데 촉촉하고 부드러워서 발림성이 특히 좋아요.

저는 속당김 심한 건성피부인데 요즘같은 계절에는 살짝 부족하고, 보통 메이크업 전에 바르는 용도로 잘 사용 중이에요. 화잘먹 크림이라 메이크업 전에 바르는 용도로도 추천드려요!"
"5","2026.04.04","복합성","여름쿨톤","블랙헤드, 홍조","False","아쿠아 스쿠알란 수분크림 선물 받아서 잘 사용하고
이번에 수분라인 전 구성과 클렌징 라인 전 구성 주문했어요. 이 구성에 이 가격이면 종합선물세트 아닌가요.
마지막에 마무리로 수분크림 발라주면 자고 일어났을때까지 확실한 보습과 피부장벽이 유지되서 다음날 세안할때 까지 건조함이 없어서 좋습니다.
1+1이라 더 좋아요"
"1","2026.04.08","복합성","웜톤","각질, 트러블","False","순하긴 한데 진심 아무런 장점이 없어요 ㅠ
촉촉한것도 아니고 뭐 트러블이 없어지는것고 아니고
그냥 무매력의 화장품…?
막 화잘먹 치트키라 하는데 그정돈 아니에요 
한번 써본걸로 만족!"
"5","2026.04.01","건성","여름쿨톤","다크서클","False","파우치 매우 귀엽고 용량도 든든해서
오래 쓸 수 있을 것 같아요"
"5","2026.04.03","","","","False","수분천재인지 모르고 구매했는데 화장품 잘 아는 친구가 보더니 좋은거쓴다고 해서 놀랐어요 ^^ 그런데 성시경님이 찍기로 했다던게 에스네이처였다니 너무 반가워서 크림하고 세럼 아이리무버까지 구매했죠 수부천재 크림은 알았으니 매끈결광 세럼도 기대합니다"
