rating,date,skinType,skinTone,skinTrouble,repurchase,content
"5","2026.03.15","건성","겨울쿨톤","잡티, 미백","False","라로슈포제와 이 제품 두개쓰는데 추천포인트가 달라요. 건성에 가까운 피부고 피부장벽이 여러 이유로 힘들어한다(특히 물리적손상인 피부과치료나 스키장 칼바람 등)의 경우엔 라로슈포제를 추천드립니다. 하지만 저같이 건성이고 건조해서 갈라지고 간지러운 피부라 생기는 장벽손상(건조성 문제)의 경우는 에스트라를 더 추천드립니다. 악건성인 제가 라로슈포제를 단독사용했을땐 징크 등 성분으로 오히려 속건조가 생기더라구요. 이제품은 세라마이드라 그 점에선 더 우수했습니다."
"1","2026.04.01","","","","False","자극은 없지만 복합성은 기름이 많이 올라오고 좁쌀 폭발당함 방치템"
"5","2026.03.24","복합성","웜톤","잡티, 미백","False","이 크림은 정말 보습감이 좋아서 여드름있는 아이도 사용하고 성인도 같이 사용하고 있어요."
"5","2026.04.03","복합성","여름쿨톤","잡티, 미백","False","양을 적당히 조절하면 사계절 사용하기 무난하기 좋은 제품 같아요:)"
"5","2026.04.02","지성","웜톤","주름, 블랙헤드","True","조카가 필요하다고 해서 사줬는데 자도 집에서 쓰고 있는 제품이네요~"
"5","2026.04.02","지성","웜톤","주름, 블랙헤드","False","자주 구매해서 사용하고 있어요. 아이도 쓰고 저도 같이 사용하는데 좋아요"
"5","2026.04.02","민감성","웜톤","모공","False","마지막 크림 단계에서 매일 사용하고 있습니다. 편하고 순하고 좋아요"
"5","2026.03.09","민감성","쿨톤","주름","False","건성피부 심하시고 이런저런 보습제품 사용하시다가 돌아온건 에스트라 브랜드 제품이에요. 속건조까지 잘 잡아주고 순해서 건조해서 민감해진 피부에도 잘 맞고 바르고 나서 피부도 정말 편안하니 마음에 들어요. 계절상관없이 바르기 좋고 피부 컨디션도 점점 좋아지니 만족템입니다"
"5","2026.04.13","트러블성","봄웜톤","각질, 트러블","False","제형 자체가 가볍고 흡수가 좋네요, 발림성도 좋고해서 수분감이 확 느껴져요. 재구매 의사 100%"
"5","2026.04.12","","","","False","세일때마다 쟁여둬요 ㅎㅎ 이만한 가격에 요만한 보습이 없어요 라이브 이벤트로 증정 많이 줘서 좋아요"
"5","2026.03.14","민감성","웜톤","잡티","False","수분가득 느낌은 아니고
건조하지 않는정도이며
알갱이가 있으나 거슬리지는 않고요~!

화장이 밀리지 않습니다. 메이크업할때 괜찮아요 

발림성 좋고요~!

가격이 비싸서 재구매 고민입니다.  
가격에 비해서는 평범해요.."
"5","2026.04.13","복합성","겨울쿨톤","미백, 블랙헤드","False","속건조와 각질을 빠르게 진정시키며 120시간 지속 보습으로 아침까지 촉촉함 유지돼요. 
크리미 제형이 부드럽게 발리지만 유분감이 있어 수부지 피부는 소량 사용 추천, 예민 피부 안전성 최고예요
트러블 후 진정과 유수분 밸런스 개선 효과로 좋은것같아요"
"5","2026.02.23","건성","봄웜톤","트러블","True","건성김미연인데 아직도 이 크림 안써본분 없으시죠••?
전 이거 지금까지 20통은 썼을듯
아무리 보습 잘된다는 크림 써봐도 이거만한게 없었음
진짜 속부터 당기는 악건성이라 밤에 뭘 아무리 바르고 자도 아침되면 쩍쩍 갈라지는 피부인데 이거 정말 괜찮음..
 
기본적으로 무겁고 기름진 고보습 크림임.
그래서 피부타입에 따라 인생템이 될수도 있고 최악의 처박템이 될수도 있음
난 지성이다, 얼굴에 피지&유분기가 많은 피부다, 얼굴에 열감 많고 여드름 많다 -> 하나라도 해당되면 안쓰는거 추천함
이런 피부가 썼다가는 얼굴에 기름 폭발해서 여드름만 더 나고 뒤집어질수 있음
 
 그 반대 건성피부들한텐 이만한게 없다 진짜 •••
 + 같은 라인으로 나온 에스트라 아토베리어 앰플, 하이드로 에센스? 그거랑 미스트 이거 3개랑 궁합도 매우 좋아서 같이 쓰기 ㄱㅊ음
특히 아토베리어 미스트. 악건성들 꼭 써보길 자기전에 이거 바르고 미스트 뿌리고 자면 다음날 아침까지 피부 광남!
        
        
              
                ... 더 보기"
"5","2026.04.02","지성","웜톤","주름, 블랙헤드","False","지인 추천으로 구매해봤습니다~ 사용해보니 발림성도  좋고 자극도 없어서 자주 구매하고 있어요"
"5","2026.04.02","민감성","봄웜톤","모공","False","몇번째 재구매인지 모르겠네요~~~ 밤에 바르기에 이만한 보습크림이 없어용 ♡♡"
"5","2026.04.02","민감성","웜톤","모공","True","크림단계에서 매일 사용하는 제품입니다. 순하고 편하고 좋아요"
"5","2026.04.02","복합성","가을웜톤","잡티, 미백","False","피부 장벽이 무너져 건조하고 가려울 때 바르면 
진정되며 편안해지는 느낌을 받아요

발림성이 부드럽고 피부 속까지 촘촘히 스며들어요

끈적임 없이 깔끔하게 마무리되면서도 
보습 지속력이 길어 자고 일어나도 당김이 없습니다

자극적인 성분이 없어 예민한 피부나 민감성 피부에도 안심하고 데일리로 쓰기 좋을 것 같아요

유수분 밸런스를 잘 잡아주어 
거칠어진 피부 결이 매끈하게 정돈되는 효과가 체감됩니당

화장하기 전에 발라도 밀리지 않아요
저의 든든한 상비 크림♡♡
        
        
              
                ... 더 보기"
"5","2026.04.14","복합성","가을웜톤","잡티, 미백","False","세번째 재구매입니다 ! 여기저기서 좋다는 소리는 많이 들었었는데 이렇게 좋을 줄은 몰랐네여.."
"5","2026.04.01","중성","여름쿨톤","잡티, 각질","False","에스트라 오랫동안 쓰고 있는데 진짜 잘 쓰고 있어요 완전 추천해용"
"5","2026.02.28","복합성","","미백, 트러블","False","가을~겨울에 사용하기 좋은 크림
좀 더워지면 좀 기름기 올라오는 느낌이고
엄청 추우면 또 보습이 모자르다고 느껴지는데
띡 저따 사용하면 보습도 잘되고 보들보들해서 좋아요
알갱이 땜에 호불호 갈리긴하는데 민감성 아니면
다 두루두루 괜찮게 쓰는구 같으요"
"5","2026.02.28","건성","쿨톤","잡티, 주름","False","피부 장벽 무너졌을 때 사용하기 정말 좋은 크림. 👍
유분감이 어느 정도 있는 보습 크림이에요.

레티놀 제품 잘못 사용해서 피부 뒤집어지고 장벽 다 무너져서 급하게 구매해서 사용했는데 효과가 정말 좋았어요.

건성피부지만 유분감 많은 제품 많이 올리면 다음날 트러블이 올라와서 유분감 많은 보습 제품은 평소에는 잘 사용하지 않는데 장벽 회복에는 최고예요."
"5","2026.02.24","민감성","쿨톤","트러블","False","에스트라는 피부과에서도 추천할만큼 성분도 좋고 효과도 뛰어난 브랜드잖아요~
민감한 피부때문에 피부과에 갔더니 로션이랑 크림을 바꿔보라고 해서 추천받았던 브랜드인데요~
확실히 트러블 났던 피부가 진정되었고 촉촉함이 겉돌지 않고 오래 유지되는 편이었어요.
다만 생각보다 사이즈가 작은편이라 다소 당황했다는...ㅋㅋ 덕분에 여행갈때도 챙겨갈 수 있네요~
그래도 기획 상품으로 같은 라인의 에센스랑 크림이 함께 구성되어 있어 좋았어요.
아토피피부나 예민한피부, 보습이 필요한 분들께 추천해드리고 싶습니다."
"5","2026.04.07","건성","쿨톤","잡티, 미백","False","수영하고 스킨로션바르고 발라주면 보습 짱짱해요
발림성 좋아서 아침용으로 쓰고있습니다ㅎㅎ"
"5","2026.04.03","민감성","여름쿨톤","주름, 각질","False","몇통째 쓰고있어요 아기 낳고 너무 건조해졌는데 이거 쓰고 그래도 속건조가 좀 잡혔어요"
"5","2026.03.16","트러블성","가을웜톤","미백, 주름, 트러블","False","수부지 부족 피부라 그런지
얼굴도 엄청건조하고 ㅜ
피곤한지 뭐가 트러블 자꾸 생겨
친구가 추천해서 구매했어요 ㅎ 
꾸준히 쓰고있어요"
"5","2026.02.24","","","","False","순하고 데일리로 사용하기 좋은 수분크림이예요 부모님도 구매해드렸어요"
"5","2026.02.19","민감성","쿨톤","잡티, 미백","False","보습에 특화된 느낌이랄까 건성피부에 좋고 난 수부지인데 너무 많이 바르면 기름지고 가끔씩 뾰루지 올라오긴 함 그때는 바르고 난 후 좀 이따가 기름종이로 살짝 닦아내는정도로 해주면 뾰루지도 안올라옴"
"3","2026.04.14","복합성","웜톤","주름, 각질","False","에스트라는 뭐 이제는 국민템인것 같네요..
이거저거 써보다 오랜만에 써보는데 여전히 좋네요..
밤에 듬뿍 발라주고 잡니다.
순한 영양감으로는 에스트라가 무난히 좋네요..
다만 세일폭 좀 가끔 한번씩 많이 해주시길..
수분이나 레티놀 비카민 등+조합이 뭐든 부담없이 좋습니다."
"4","2026.03.20","지성","쿨톤","잡티, 트러블","True","피부가 예민하거나 아무거나 못 쓰는 사람들은 무조간 에스트라에툐~"
"5","2026.04.14","","","","False","보습용 크림 찾다가 구매했는데 기본에 충실한 제품이에요.

제형은 너무 무겁지 않으면서도 적당히 밀도감 있어서 피부에 부드럽게 발리고, 바르고 나면 수분막이 형성되는 느낌이에요. 겉돌지 않고 흡수되는 편이라 데일리로 쓰기 부담 없었습니다.

보습력은 건조할 때 확 잡아준다기보다는 꾸준히 발라주면 피부 컨디션을 안정적으로 유지해주는 느낌이에요. 특히 예민하거나 건조할 때 무난하게 쓰기 좋았어요.

향도 거의 없는 편이라 호불호 없이 사용하기 괜찮은 점도 장점입니다."
"5","2026.04.12","복합성","봄웜톤","","False","(수부지에서)->약간 민감성인 복합성피부 입니다!
쓰던게 바닥나기 직전이여서 새로 구매했습니다
제품력은 말안해도 너무 순하고 좋습니다
피부 엄청 잘 뒤집어 지는데 크림 이걸로 바꾸고 나서부터는
아무리 뒤집어져도 홍조만 살짝 올라오는정도?
찬바람이나 뭐 하나 잘못해도 피부 뒤집어지는데
이제는 찬바람 맞아도 저녁에 에스트라 크림 듬뿍 바르고 자면 다시 보들보들피부로 돌아와요 그냥 순하고 좋으니까
제발 사세요
+++수부지일때도 썼었는데 기름은 져도
얼굴에 트러블 올라온적 엄서요"
"5","2026.04.03","건성","웜톤","미백","False","에스트라는 정말 전 제품이 다 마음에 들어요. 모든면에서 완벽합니다. 화장도 안밀리고 속당김도 없고 자극도 없고 속이 꽉차지만 끈적임도 없고 모든제품이 다 좋아요!!"
"5","2026.03.31","민감성","봄웜톤","","False","✔️저는 수부지 민감성 피부에요! 스킨케어 단계에서 에스트라 아토베리어365 크림으로 피부장벽을 보호해주고 있습니다 ◡̎

수분과 보습 + 피부 진정까지,, 나를 일방적 에스트라 러버로 만들어준 크림💚

성분❣️피부 속까지 보호해주는 세라마이드 성분이 함유되어 있어서 자극으로 민감해진 피부를 진정시키고 피부 장벽 개선과 피부 온도 케어에 정말 좋았어요!

제형❣️수분감 있는 부드러운 제형이고 피부에 촉촉보송하게 스며들었어용

흡수력❣️촉촉함은 남겨두고 피부 속까지 흡수되는 기분,, 마무리감이 산뜻하고 끈적임이 없어 더욱 만족하며 사용하고 있습니다! 피부 보습도 잘 유지되었구요 ˁ῁̮ˀ

➕제형이 무겁게 느껴질 수도 있는데 크림을 얇게 한 겹 발라주는 기분이에용 피부에 보습막을 생성해 수분이 안 날아가고 속건조를 딱 잡아주더라구요 ◡̎

향❣️무향이라 향에 예민하신 분들도 편하게 사용할 수 있을 것 같아요!

사용 후❣수분을 그대로 품고 날아가는 물 미스트가 아닌 세라마이드 성분을 10,000ppm 함유하여 수분 충전 + 보습막 형성까지! 살포시 피부에 안착하는 느낌,, 착붙💛

➕순한 성분에 피부 안전성 테스트까지 완료한 제품이라는 점이 플러스 요인 중 하나였습니다! 피부가 맑아지면서 수분이 채워지는 느낌,, 말모말모💙

저의 리뷰가 도움이 되었으면 좋아요👍🏻 한 번 눌러주세요 ʕ •ᴥ• ʔ
        
        
              
                ... 더 보기"
"4","2026.03.21","복합성","쿨톤","잡티, 트러블","False","편하게 막 바를 수 있어서 좋아요
카프릴릭ㅡ 어쩌고 성분이 없어서 좋아요
그 성분이 들어가면 붉어지고 간지럽고 그러거든요
카프릴릭 안 들어간 크림이 잘 없더라구요
그래서 전 요거 진짜 구원템이예요
근데 가격이 넘 비싸요 세일 좀 해주세요 ㅠㅜ"
