rating,date,skinType,skinTone,skinTrouble,repurchase,content
5,2026.04.16,,,,FALSE,"모낭염이 있거나 계절이 바뀔 때마다 피부가 뒤집어진다거나
피***겔, 라***포제, 아벤*, 바이오** 시카** 등등 좋다는 진정크림은 모조리 다 안맞는 분들 이 크림 제발 써보세요.

안맞는 화장품 잘못써서 진균성 모낭염 번지고 난리났을때
이 제로이드 크림만 피부에 자극없이 맞았고, 홍조도 진정시켜줬습니다. 좋다는 재생, 진정크림 안써본 제품이 없었고
마지막으로 시도해본게 이 크림인데 이때까지 썼던 크림중에서 제일 좋아요.

일단 제형자체도 피부에 잘 스며들면서 수분과 유분 밸런스도
탁월합니다. 단 수딩크림이기 때문에 겨울철에는 건조할것같아요. 

속은 메마르고 겉은 번들거리거나, 아예 실리콘 덧씌워지는 느낌으로 훅훅 찌면서 홍조와 좁쌀이 올라오는 자칭 수분크림들 정말많았었는데 이 제로이드는 바르면 편안하면서 피부가
숨을 쉰다는 느낌이에요. 

피부과 다니면서 스테로이드 리바운드와서 다시 피부가 완전 뒤집어졌을 때 피부과 다니는거 중단하고, 스테로이드 및 항생제 피부약 끊으면서, 토너, 패드, 세럼 물제형 제품 일절 끊고 세안 후 이 제품만 바르고 90프로 다 나았어요.

만성피부염, 아토피, 모낭염, 지루성 피부염 있으신분들
제발 랭킹 높고 인지도 높다고 좋은 제품도 아니고 다 맞지도 않아요. 이 크림 제발 한번 단독으로 써보세요!
        
        
              
                ... 더 보기"
5,2026.04.19,지성,쿨톤,"주름, 각질",FALSE,"🌱나 민감성 피부🌱

피부 예민할 때 아무거나 못 바르잖아
이건 그냥 편하게 손이 가는 크림이었음

처음 바를 때 자극 느낌 거의 없고
부드럽게 펴발려서 부담 없이 쓰기 좋았음

막 엄청 꾸덕한 건 아닌데
바르면 촉촉함은 바로 올라오는 편이고
겉돌지 않고 자연스럽게 스며드는 느낌

건조해서 당길 때 발라주면
금방 편안해지는 느낌 들어서 괜찮았음

유분감도 과하지 않아서
지성인데도 크게 답답함 없었고
번들거리기보단 깔끔하게 마무리되는 쪽

와 이거 대박이다 이런 느낌보단
피부 컨디션 안 좋을 때
무난하게 계속 쓰게 되는 그런 크림임
        
        
              
                ... 더 보기"
5,2026.05.03,민감성,봄웜톤,트러블,FALSE,"인텐시브 잘 사용하다 날이 더워져 기본수딩크림
사보았습니다. 촉촉 수분감은 느껴지는데 제로이드 특성상 마무리는 뽀송?한 느낌입니다.
그래서 볼 쪽은 덧 발라주고있어요!  건성이신분들은 산뜻한 마무리때문에 건조하다고 느낄수도있을것 같아요 
복합성피부는 좋습니다"
5,2026.05.01,,,,FALSE,지성+수부지+민감성+여드름성 피부 인생 N년차입니다 클렌징이나 기초 제품 하나 바꿀때마다 피부 왈카닥 뒤집혀지고 나아지고 뒤집혀지고 나아지고의 반복인데요ㅠㅠ 피부과에서 제로이드 초록이 샘플을 추천받아 사용해본 기억을 되살려 제로이드 라인에서 유분이 그나마 적은 편인 파랑이 사용해보게 되었습니당 정말 순하다는게 느껴지고 여드름이 눈에 띄게 진정되는건 모르겠지만 여드름이 더 나진 않았어요!! 여드름이 잘 끊이지 않는 제 피부에 이정도 효과였다는것만으로 아주 만족스러운 사용감이었습니당 ㅎㅎ 민감성 피부+여드름성 피부 분들에게 추천드려요!😉
5,2026.04.30,건성,봄웜톤,"탄력, 홍조",FALSE,꾸준히 잘 쓰는 크림이라서 재구매했어요. 부드럽고 크리미한 제형으로 손에 덜면 산뜻하면서도 촉촉한 질감이에요. 리치한 느낌보다는 가벼우면서 피부에 밀착되는 수딩 타입 크림이에요. 피부 위에서 스르륵 잘 퍼지고 뭉침 없이 부드럽게 발리고 가벼운 텍스처라 데일리로 바르기 편한 발림감을 보여줘요. 흡수가 빠른 편이라 끈적임 없이 금방 스며들고 바른 뒤에도 속까지 촉촉하지만 산뜻하게 흡수돼 답답함이 적어요. 바른 뒤에도 피부가 은은하게 촉촉하고 보송보송하게 마무리 되고 수딩 효과가 있어 진정된 느낌이 남고 겉은 깔끔한 마무리예요. 피부 붉음/자극 완화 + 진정 효과가 좋아 민감피부도 부담 없이 쓰기 좋고 가벼운 보습감으로 계절 상관없이 데일리 진정&수분 케어에 좋아서 마음에 들어요.
5,2026.05.03,복합성,봄웜톤,"각질, 블랙헤드",TRUE,자극없이 순하고 화장하는것과 궁합도 좋고 항상 믿고 쓰는 제로이드! 올영에서 편하게 살 수 있어 넘 좋아요!!
5,2026.04.30,복합성,여름쿨톤,"잡티, 각질",FALSE,"좋다고 해서 처음 써봤는데 진짜 자극없고 순하고 좋아요
수부지 피부인데 조금 건조한거 같긴 한데 여름엔 최고일듯!!
빨리 흡수됩니당"
4,2026.05.09,복합성,여름쿨톤,"미백, 트러블",FALSE,"진짜 피부 장벽이 튼튼해지는 게 느껴져서 좋아요!
작년 여름에도 이것만 썼었는데 괜히 다른 걸로 바꿨네요..
근데 다만 아쉬운 건 보습력이 날아간다고 해야하나?
딱 발랐을 때는 촉촉하고 좋은데 좀 이따가 보면 너무 보송해서 복합성인 저에게는 U존이 건조했어요
여름에는 이것만 쓸 것 같네요!"
5,2026.05.09,복합성,쿨톤,"잡티, 미백",FALSE,"여름엔 수딩라인, 그외 계절엔 인텐시브 라인을 구비해두고 사용합니닷. 피부에 자주 썽나는 분들은 구비해두면 좋으실거예요. 촉촉하고, 자극없어서 무난하게 사용하기 좋아요. 좋은 구성으로 할인할때 사서 만족합니다~ 선착순 사은품 못받아서 아숩^_ㅠ"
5,2026.05.08,복합성,봄웜톤,미백,FALSE,"지인한테 추천받아 구매했는데 너무 좋아요
자극없이 순하고 보습감도 나쁘지않고 여름까지
너무 잘 사용할 것 같아요 😁👍🏻"
5,2026.05.06,건성,쿨톤,"미백, 주름",FALSE,"만족이에요. 항상쓰던제품이에요
수분제품으로  최고에요"
5,2026.05.04,중성,,,FALSE,유수분 적절하게 있어서 촉촉헌데 뭔가 지속력이 좀 떨어지는 듯ㅇ합니다
5,2026.05.10,복합성,쿨톤,"주름, 블랙헤드",FALSE,"제로이드 클렌징젤만 쓰다가 이번에 수딩크림 써봤는데 진짜 너무 좋아요!ㅠㅠ 진작 쓸걸 왜 이제 썼나 싶어요, 바르고나면 끈적이지않고 보송해서 넘 좋고 유분기때메 좁쌀 날 일도 없어서 넘 좋내요,, 그래서 이번 오특 세일때 하나 더 두매했어요! 제로이드 담당자님들 이대로 쭉 오래 함께 해주세요"
5,2026.05.02,,,,FALSE,"포터님 경호님 라이브로 저렴하게 수딩크림과 인텐시브크림 , 새로나온 핌프로브 레드 컨트롤 크림 이렇게 3가지 구매했어요
나이가 들수록 몸이 건조해지고 날씨에 따라 피부 컨디션이 예민해져서 아무거나 쓸수가 없어졌어요ㅠ
어릴땐 보습이 왜 필요 한지 모르고 무조건 산뜻하게만 발라야한다 생각했는데 피부엔 보습이 정말 중요하더라구요!
피부장벽이란게 한번 무너지면 이전처럼 다시 피부상태를 원위치로 돌리기가 너무 어려웠어요ㅠㅠ
여드름이나 트러블 올라온다고 보습 안하면 안돼요!
내 피부 상태에 맞춰 보습은 필수에요
그래서 선택한 화장품이 제로이드였어요
정말 피부에 필요한 성분으로 예민해진 피부를 잠재워줘서 진짜 인생템이에요!!
전 수부지인데 계절을 정말 많이 타요
그래서 곧 여름이 올때를 대비해서 수딩크림 구매했어요!
전 여름엔 수딩크림 겨울엔 인텐시브크림 바르고 있어요ㅎㅎ
끈적이지 않고 산뜻하면서 수분감과 흡수도 잘되고 보습력도 탄탄해요
저처럼 예민보스인 피부에 제로이드 강추드려요!
여름엔 제로이드 수딩크림!!
        
        
              
                ... 더 보기"
5,2026.04.24,복합성,봄웜톤,"잡티, 미백",FALSE,"겨울엔 인텐시브 사용하고
여름엔 수딩 크림 사용해요.

수딩크림은 덜 꾸덕하고 수분감이 많아서 
여름에 사용하면 넘 좋더라구요.

저자극크림이라 피부가 편안해요. 
끈적임도 없어서 여름철 편하게 사용 할 수 있고
튜브타입이라 간편하고 깨끗하게 사용 가능!!

민감한 날에도 걱정없이 듬뿍 발라줍니다.
        
        
              
                ... 더 보기"
5,2026.05.14,,,,FALSE,수분감 꽉 채워주고 발림성도 좋아서 피부속 건성의 느낌없이 촉촉합니다
4,2026.05.13,민감성,웜톤,,FALSE,피부에 자극 없고 순해서 매일 써도 부담 없어요 수분감만 있는 편이라 여름에 특히 쓰기 좋아요
4,2026.05.17,,,,FALSE,대용량이라는 글자가 무색하게 앙증맞은 사이즈네요 ㅎㅎ sns에서 좋다는 글들을 많이 봐서 세일때 사야지 생각했는데 마침 방송해서 바로 구매했습니다 이제 여름이라 연두색 그거 말고 수딩크림으로~
5,2026.05.17,,,,TRUE,"민감성 피부라서 제로이드만 꾸준히 사서 바르고 있어요, 순하고 보습좋아요"
5,2026.05.17,,,,FALSE,한겨울에는 크림으로 조금 부족하다는 생각이 드는 보습력이 었어요. 그치만 순해서 잘 쓰고 있습니다♡
4,2026.04.19,트러블성,쿨톤,"주름, 트러블",FALSE,남편이 잘 사용했어용ㅎㅎ 자극없이 순하고 촉촉해서 좋다고 하네용
5,2026.04.15,민감성,여름쿨톤,트러블,FALSE,이 제품 사용하고 피부 엄청 좋아졌어요 수부지 피부분들은 이거 꼭 쓰세요
5,2026.05.18,,,,FALSE,수딩크림처럼 반투명한 겔느낌 크림인 줄 알았는데 그냥 불투명한 흰색 크림 제형이고 생각보다 유분감 있어서 지성은 별로인 것 같아요ㅠ 보습은 확실히 오래가고 촉촉해요 여드름 전용 빨간색 제로이드 크림을 잘썼는데 세일을 앙해서 이걸로 사봤는데 무난합미다
5,2026.05.11,지성,쿨톤,"트러블, 블랙헤드",FALSE,피부과에서도 추천할 만큼 순한 제품이라 믿고 구매했습니다. 자극이 전혀 없고 보습력이 탄탄해서 장벽 케어되는 느낌이 확실히 들어요. 발림성도 부드럽고 끈적임 없이 깔끔하게 마무리돼서 데일리 수분 크림으로 정착했습니다. 증량 기획이라 용량까지 넉넉해서 대만족이에요.
5,2026.05.02,지성,가을웜톤,잡티,FALSE,"순하고 좋다는 명성을 듣고 구매했네요.
아직 사용전이지만 순하고 피부에 도움되길요"
5,2026.04.19,지성,,"트러블, 피지과다",FALSE,"기름진 장벽 크림들 사이에 한 줄기 빛.. ✨✨ 제 피부를 살린 구원템 입니다....
그동안 장벽이 많이 무너져 아무 일 없었는데도 염증성 여드름이 나거나 모낭염이 얼굴 이곳저곳에 막 퍼져있을 정도로 상태가 심각했는데 막상 장벽크림을 사려고 보니까 보통 유명한 장벽크림들은 꾸덕하고 기름진 제형 밖에 없어 지성으로선 도전하기 어렵더라고요... 그런데 이 크림은 정말 일반적인 수분감 있는 크림 제형인데 바르고 나니 장벽도 회복되면서 여드름이나 모낭염도 가라앉더라고요 제형감 때문에 장벽 크림 도전 못 하셨던 분들에게 정말 추천드리고요 도대체 왜 안 유명한지 모르겠어요 개미쳤어요 강추!!!"
4,2026.05.13,,,,FALSE,"리뷰가 많길래 구매해봤는데 생각보다 더 순하고 촉촉한 제형이었어요 ! (아예 수딩제형보단 촉촉한 로션같은 느낌이에요)
제가 많이 민감성 피부인데도 트러블도 안나고 잘 맞는 거 같아요 !!"
4,2026.04.23,,,,FALSE,건조하고 미세먼지 많은 봄철에는 저자극의 화장품이 필요합니다. 저는 이 제품을 잘 활용하고 있어요.
3,2026.05.04,,,,FALSE,복합성이 단독으로 쓰기에는 좀 건조하고 장벽케어가 되는 건지도 모르겠어요
5,2026.05.18,,,,FALSE,확실히 지성이 쓰기엔 무겁긴 하지만 다른 재생크림들 보단 유분기가 덜 한 것 같아요!!! 굿굿
5,2026.05.04,,,,FALSE,"md 살려다가..
예전에 요걸 사용했어서 다시 구매했어요.
트러블 없어서 좋아요."
5,2026.04.02,복합성,가을웜톤,"잡티, 트러블",FALSE,5년 넘게 사용하고 있는 보습제 입니다. 피부가 붉고 예민하고 따갑다면 이것저것 바르는거보다 제로이드 하나 바르는게 피부회복이 가장 빠르더라구요. 추천드립니다!!
5,2026.04.01,건성,웜톤,주름,FALSE,조카들에게도 해당 브랜드의 클렌징 폼을 많이 사주었고 어렷을 적부터 아토피가 있는 동생에게도 이거 사주고 잏어요
