rating,date,skinType,skinTone,skinTrouble,repurchase,content
"5","2026.04.06","지성","봄웜톤","잡티, 블랙헤드","False","피부가 너무 건조해서 속수분도 보충하려 구매했는데 잘발라지고 덜 건조해요 성분도 순해요"
"5","2026.05.18","건성","쿨톤","잡티, 주름","False","한 달 정도 아침, 저녁으로 꾸준히 사용해본 후기입니다. 평소 피부 속건조가 심한 편이라 수분크림 고를 때 촉촉함을 가장 중요하게 생각하는데, 이 제품은 바르자마자 피부에 수분이 채워지는 느낌이 들어 정말 만족스러웠어요. 제형은 가볍고 산뜻한 젤크림 느낌인데 보습력은 생각보다 오래 유지돼서 건성·수부지 피부 모두 사용하기 괜찮을 것 같습니다.

특히 여러 번 덧발라도 밀리거나 답답하지 않아서 메이크업 전에 사용하기도 좋았어요. 흡수도 빠른 편이라 끈적임 남는 걸 싫어하는 분들에게 잘 맞을 것 같고, 피부가 예민한 날에도 자극 없이 편안하게 사용할 수 있었습니다. 사용 후 피부결이 촉촉하고 매끈해 보여서 아침 화장도 훨씬 잘 먹는 느낌이 들었어요.

100ml 대용량인데다가 1+1 기획이라 가성비도 정말 만족스럽고, 데일리 수분크림으로 부담 없이 쓰기 좋았습니다. 계절 상관없이 무난하게 사용 가능한 제품이라 재구매 의사 있습니다."
"5","2026.04.23","건성","여름쿨톤","미백, 모공","False","제일 좋아하는 수분 크림잊니당 가볍고 시원하고 몇 통을 썼는지 모르겠는 ㅠㅠ"
"5","2026.05.07","민감성","가을웜톤","미백, 각질","True","수분크림 유목민이었는데 이건 진짜 무난하게 손 자주 가는 제품이었어요. 젤크림 타입이라 산뜻한데 속건조는 꽤 잘 잡아주는 느낌입니다.

특히 여러 번 레이어드해도 답답하지 않아서 피부 건조한 날 듬뿍 올려 사용하기 좋았어요. 저는 세안 후 토너 여러 번 바르고 마지막에 두껍게 마무리하는 방식으로 사용 중인데 피부 당김이 많이 줄었습니다.

대용량 더블기획이라 부담 없이 팍팍 쓸 수 있는 것도 장점이에요."
"5","2026.05.04","복합성","겨울쿨톤","잡티, 주름","False","이 크림은 처음 바르는 순간부터 “아, 이건 진짜 편하다”라는 느낌이 강하게 들었던 제품이에요. 피부에 닿는 순간 부드럽게 녹듯이 퍼지면서, 자극 없이 촉촉함만 남기는 그 사용감이 정말 인상적이었어요.

제형은 가벼운 젤 크림 타입인데, 단순히 가볍기만 한 게 아니라 속까지 수분이 채워지는 느낌이 들어요. 겉만 번들거리는 게 아니라 피부 속이 편안해지는 느낌이라서, 바르고 나면 피부가 한층 안정된 상태가 되는 게 느껴졌어요.

특히 좋았던 건 어떤 피부 컨디션에서도 부담 없이 쓸 수 있다는 점이에요. 피부가 예민할 때, 트러블이 올라왔을 때, 혹은 그냥 아무 생각 없이 데일리로 바르기에도 전혀 부담이 없어요. 그래서 자연스럽게 “손이 계속 가는 크림”이 되었어요.

한 달 정도 꾸준히 사용해보니까, 피부가 전반적으로 덜 건조해지고 유수분 밸런스가 조금 안정된 느낌이 들었어요. 다만 극건성 기준에서는 한겨울에는 단독으로 쓰기엔 살짝 가볍게 느껴질 수도 있어서, 그럴 때는 오일이나 다른 크림을 함께 사용하는 게 좋겠다고 느꼈어요.

그래도 전체적으로는 “기본기 탄탄한 수분 크림”이라는 느낌이 강하고, 누구에게나 무난하게 추천할 수 있는 제품이에요.
        
        
              
                ... 더 보기"
"5","2026.05.03","민감성","쿨톤","미백, 주름","False","젤-크림 타입이라 가볍게 발리면서도 수분감이 충분했어요. 바르는 순간 시원하게 퍼지면서 피부에 빠르게 흡수되고, 끈적임 없이 산뜻하게 마무리돼서 아침에도 사용하기 좋았어요. 꾸준히 사용해보니 피부 속건조가 줄어들고, 메이크업 들뜸도 덜해진 느낌이었어요. 지성이나 수부지 피부에 특히 잘 맞을 것 같아요."
"3","2026.04.15","복합성","쿨톤","블랙헤드, 모공","False","편하게 듬뿍 듬뿍 발라줄수 있는 수분크림 찾았는데 괜찮네요. 제형은 약간 알로에 겔 같은 느낌이에요. 선호하는 제형은 아닌데 그래도 큰 자극없이 쓰기에는 괜찮아요. 좀 헤프게 쓰는중인데 양도 많고 좋아요. 수분감은 조금 부족한것 같아요."
"5","2026.04.11","트러블성","웜톤","주름, 각질, 트러블","False","픽업구매로 빠르게 받아본 제품 ㅎㅎ 토리든 쿠폰까지 받아서 2000원 더 할인 받았더요.최대한 가성비 있게 구매할수있었음! 토리든  수딩크림이 가볍고 좋아서 몇통째 사용중인지 셀수없슴다... 품절되지않고 저랑 오래오래함께하길 ㅠㅠ 다 사용했었는데 픽업주문으로 바로받아와서 푹푹 잘 쓰고있어요"
"5","2026.03.20","지성","여름쿨톤","미백, 각질","False","💧✨ 수분 꽉 채워주는 데일리 크림 후기

요즘 피부가 계속 건조해서 수분크림 이것저것 바꿔보다가 구매했는데, 결론부터 말하면 데일리용으로 쓰기 너무 괜찮은 제품이에요. 더블기획이라 용량도 넉넉해서 부담 없이 듬뿍 바를 수 있는 점이 제일 마음에 들었어요.

제형은 꾸덕한 느낌보다는 가볍고 촉촉한 젤크림 타입이라 바르자마자 피부에 빠르게 흡수되는 느낌이에요. 겉도는 유분감 없이 속부터 촉촉하게 채워주는 느낌이라 아침에 메이크업 전에 발라도 밀림 없이 잘 먹어요. 특히 히알루론산 라인이라 그런지 수분감이 확실히 오래 유지되는 편이에요.

저는 건성 쪽인데도 이거 하나만 발라도 당김이 많이 줄었고, 여러 번 덧발라도 무겁지 않아서 좋았어요. 지성 피부이신 분들도 부담 없이 사용할 수 있을 것 같고, 계절 상관없이 무난하게 쓰기 좋은 타입이에요.

향도 거의 자극적이지 않아서 예민한 날에도 부담 없이 사용할 수 있었고, 피부 트러블 없이 편안하게 잘 맞았어요. 꾸준히 쓰다 보니까 피부가 전체적으로 촉촉해진 느낌이라 만족도가 점점 올라가더라고요.

총평하자면, 가성비 좋고 무난하게 쓰기 좋은 수분크림 찾는 분들께 추천드리고 싶은 제품이에요. 대용량이라 오래 쓸 수 있고, 데일리 보습용으로 딱이라 재구매 의사 충분합니다 💙
        
        
              
                ... 더 보기"
"5","2026.05.12","","","","False","수분크림으로 사용하기에 
적합합니다
순하고 피부가 되살아나요"
"5","2026.05.01","복합성","쿨톤","잡티, 각질","False","기대 이상으로 촉촉하고 흡수도 빨라서 데일리로 쓰기 좋아요 끈적임 없고 피부가 편안해서 재구매 의사 있습니다"
"5","2026.04.29","","","","False","무난하게 사용하기 좋은 수딩크림이라서 좋아요
피부상태에 상관없이 계속 손이 갑니다
딱히 자극도 안느껴지고 유분기도 적어서 지성도 사용하기 좋아용"
"5","2026.04.25","","","","False","크림이 끈적거리지 않아서 좋은 거 같아요!
얼굴에 바르고 시간이 지나도 촉촉한 느낌이 남아 있어요"
"5","2026.05.13","복합성","","미백, 트러블","False","예전에 토리든 마스크랑 토너를 써봤는데 너무 괜찮아서 이번에 수딩크림도 구매했습니다 ㅎㅎ"
"5","2026.05.10","건성","봄웜톤","블랙헤드, 모공","False","나이거 재구매다아
경 톡촉하고  쿨링감있고 열감내려주고 촉촉히구 다함! 
수분크림은 이것만 쓸거다 토리튼 사랑해♡♡
히히"
"5","2026.04.26","","","","False","유분기 없는 수딩크림 중 제일 무난하고 좋은 것 같아요!!!"
"3","2026.04.25","","","","False","가끔 구매해서 사용하는  수분크림  화장할때  밀리지도 않고 무난한 제품입니다"
"5","2026.04.07","민감성","가을웜톤","잡티, 각질","False","건조하면 가벼울 수도 있는데 제 피부엔 딱 적당한 수분제품입니당"
"5","2026.04.07","민감성","봄웜톤","잡티","False","추천받아서 구매해본 건데 잘 사용하고 있습니다. 순하고 촉촉해요. 세안후에 세럼 바르고나서 사용하고 있어요ㅎㅎ"
"5","2026.04.01","","","","False","큰 자극없이 순하고 수분공급을 해줘서 좋아요. 재구매하려고"
"5","2026.05.16","","","","False","한 달 정도 꾸준히 사용해봤는데 가볍게 발리면서도 수분감이 충분해서 데일리로 사용하기 좋았어요. 끈적임 없이 빠르게 흡수돼서 아침저녁으로 부담 없이 바를 수 있었고 피부가 건조할 때도 촉촉하게 유지되는 느낌이었습니다. 더블 구성이라 용량 걱정 없이 넉넉하게 사용할 수 있어서 만족스러웠어요."
"5","2026.05.10","지성","가을웜톤","미백, 각질","False","진짜 이고 저의 찐템입니다. 곧 재구매도 할 것 같아요. 너무너무 좋네요. 진짜 수분만 딱 채워주고 마무리감이 거의 없어요! 진짜 괜찮고 수부지들에게 완전 추천합니다! 그냥 진정 효과도 있어서 붉은기 있는데 듬뿍듬뿍 바르고 자면 끈적이지도 않는데 다음날 가라앉아 있ㅇ어요. 딱 바르고 쉬원해지기 까지 해요 대박 굿굿입니다."
"5","2026.05.17","","","","False","토리든 크림이 진짜 좋은게 겉만 수분을 채워주는 게 아니라 속까지 채워줘서 촉촉함 오래가고 쫀쫀해짐 ㄹㅇ로 얘도 3년째 재구매 중"
"5","2026.05.14","","","","False","지성피부에 좋아요 산뜻하고 유분기가 없어서 끈적이지 않아 좋은거 같아요 촉촉하니 좋아요"
"5","2026.04.06","복합성","겨울쿨톤","잡티, 각질","False","자극없이 순해서 아침저녁으로 바르기 좋아요 유수분이 적절해서 민감성인데도 만족스럽네요"
"5","2026.04.01","복합성","겨울쿨톤","잡티, 각질","False","피부가 좋아졌어요 넘넘 최고
＼북-적／＼북-적／
ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ"
"5","2026.03.23","건성","여름쿨톤","미백, 모공","False","지인짜 좋아하는 수딩크림입니당 계속 재구매해서 쓰고잇서요"
"4","2026.04.23","건성","가을웜톤","미백, 각질","True","데일리로 쓰기 보다는 수면팩으로 쓰는 수딩크림
알로에젤같은 느낌으로 발리고 흡수가 생각보다 빨라서 민감성+건성 피부 뒤집어졌을때 두껍게 발라 올려두기 좋음
유자 수면팩도 써봤는데 이게 수면팩으로 더 자극없고 좋았음 
겨울에 엄청 잘썻는데 봄에도 잘쓰는 중"
"5","2026.05.17","","","","False","이거 재구매 한 템인데 완전 좋아요!! 수당크림 색이 하늘색이라 왠지 모르게 더 청량하고 물같고..뭔느알??.. 어쨌든 좋은 느낌을 줍니다. 화장 하기 전에 바르면 산뜻해서 완전 화잘먹템!! 좋아용"
"5","2026.04.30","민감성","봄웜톤","주름, 각질","False","토리든 세럼이랑 같이 사용 중인데 크림은 가볍게 발리는
편이에요 시간 지나몀 볼이 건조해지는 감이 있긴 한데 수분크림이라 피부에 수분 가둬주는 막이 부족하다고 생각하고 감안하고 사용 중입니다"
"5","2026.04.26","","","","False","지금 날씨에 바르기 좋름
일반 수분크림보단 쪼금 유분지는데
그래서 유수분 밸런스 잘맞늠"
"5","2026.04.11","","","","False","수분감이 많고 금방 날아가는 느낌이 있어요 보습 크림도 함께 사용하시는 것을 추천합니다"
"5","2026.04.01","복합성","쿨톤","잡티, 각질","False","올리브영에서 산 크림인데 발림성이 정말 부드럽고 끈적임 없이 촉촉하게 스며들어요 밤에 듬뿍 바르고 자면 다음 날 피부가 매끈하고 화장이 잘 먹어서 만족스러운 내돈내산템이에요"
"5","2026.04.01","","","","False","피부에 뭐 나서 집중적으로 토리든꺼만 쓰니 괜찮아졌어요 다 써가는데 다시 사려구요"
"5","2026.03.26","민감성","가을웜톤","주름","False","건성이 심해서 속건조에 도움 된다고 해서 주문했는데 열심히 써봐야겠어요~"
"4","2026.03.26","복합성","웜톤","미백, 블랙헤드","False","순하고 저자극이에요
단지 형태보다는 튜브 형태가 더 좋을 것 같아요"
"5","2026.03.24","복합성","","미백, 주름","False","항상 애용하는 제품이예요.
특히 여름철에 사용하면 더욱 좋아요!
없으면 안될제품!!"
"5","2026.03.21","지성","여름쿨톤","","False","수분 충전하기 딱 좋음! 근데 지성은 바르고 난 후에 잔여감이 좀 기름 지다고 느껴질 수 있음.. 뽀송한 마무리 감은 아닌듯"
"5","2026.03.19","건성","겨울쿨톤","미백, 주름","False","몇일써보고 바로 이 제품 좋다! 싶어서 후기남겨요 
수분크림을 그동안 잘 사용안하다가 이번에 토리든 구입해서 매일밤 바르고 있어요. 아니 왜 이제야 알았을까? 싶을정도로 피부결 자체가 보들보들 촉촉해요!"
"5","2026.05.11","","","","False","가볍고 흡수 빠른 수분크림이라 봄~여름에 쓰기 괜찮았어요. 바르면 끈적임 없이 촉촉하게 마무리돼서 메이크업 전에 바르기도 좋았습니다. 대신 엄청 꾸덕한 타입은 아니라 건성 피부이신 분들은 여러 겹 발라야 할 수도 있을 것 같아요. 저는 답답한 크림 안 좋아해서 만족하면서 사용 중입니다."
"5","2026.04.11","","","","False","기획상품이라 좋고 수분크림이라 촉촉해요 다 맘에 들고 용기 다르게 있는 것도 좋어요"
"5","2026.04.06","","","","False","이거 보습이 엄청 잘 돼서 건성, 복합성 피부에 딱 좋은 것 같아요!!
자극이 하나도 없어서 피부 민감하신 분한테도 강추 드려요!"
"5","2026.03.25","","","","False","아침에 이거 발라주면 산뜻 시원 한 게 너무 좋아요 진짜 토리든은 역시 수분 맛집인 게 분명해.. 엄청 부드럽게 발리면서 착 밀착 되고 기분 좋음이 느껴저.."
"5","2026.05.06","","","","True","어릴적부터 피부가 좋질않아 여드름치료를받으로 피부과병원을 자주 다녔는데 그때마다 피부과 선생님께서 무조건 화장품은 피부에 잘 맞는것을 바르라는 말씀을 듣고 이 화장품을 써봤습니다. 그 결과 이 화장품이 저에게 가장 잘 맞았습니다. 제피부가 건성이고 여드름이 잘 나는피부라 자극없고 보드라운 제품이 좋은데 이 제품은 정말 피부에 자극없이 순하고 보습에 너무 좋습니다. 항상 주문해서 사용하는 제품입니다. 꼭 사용해보세요! 몇년동안 계속적으로 꾸준하게 사용하고있는데 내성도 없이 깨끗한 피부를 만들어주고 있습니다. 앞으로도 계속적으로 사용할 예정입니다. 그리고 피부가 뒤집어지는일도 없이 항상 꾸준히 피부를 보드랍게 만들어줍니다."
"5","2026.04.28","","","","True","세상 최고로 가볍고 순하고 산뜻한 크림을 찾고싶다?
바로 토리든 수딩크림 입니다..!!
진심 수분폭발 크림..!! (⸝⸝˃ ᵕ ˂⸝⸝)

언제 어디서 발라도 자극 걱정 1도 안해도 됨..!!
몇 개째 재구매인지 셀 수도 없군여,,ㅎㅎㅎ"
"5","2026.05.18","","","","False","건성인데 보습이 좀 부족할땐 보습크림이랑 같이 쓰고 단독으론 여름에 사용하기 너무 좋아요"
"5","2026.05.11","","","","False","좋아요.촉촉하구요.건성.복합성에필수에요.유튜버들이왜극찬하는지도알겠어요.촉촉해지니피부가 덜당겨유"
"5","2026.04.20","","","","False","요즘 이것만 계속 손이 가는 수분 크림이에요. 촉촉하게 차오르면서도 끈적임 없이 깔끔하게 마무리돼서 사용감이 좋아요. 데일리로 쓰기 딱이에요."
"5","2026.04.29","","","","False","남편  수분크림 대용으로 사용하고 있어요.
지성인데 끈적임 없고 촉촉한 크림 찾다가 주문했는데 마음에 든다고 잘 사용하고 있어요.
바르면 시원한 느낌도 있고 부드럽게 잘 발리고 촉촉해요."
"5","2026.05.11","","","","True","진짜 수분 그 자체. 너무 좋아요 3번 넘게 구매했어요!!! 가격이 좀 비싸도 못 놓겠어여,,, 자극 없고 딱 수분만 채워주고 화장 전에 발라주면 좋아요!! 다른 화장품은 바뀌어도 이 제품은 안 바뀌고 몇 년을 함께한 제품. 아무나 써도 자극없이 쓸 수 있고 조금씩 레어드해서 발라주면 좋아요!"
"5","2026.04.08","","","","False","수분크림이라 그런지 바르자마자 피부에 촉촉함이 확 느껴지고, 속건조 잡아주는 느낌이 좋아요. 끈적임 없이 산뜻하게 마무리돼서 데일리로 부담 없이 쓰기 좋았어요.

건성 피부 기준으로는 확실히 보습력이 괜찮은 편이라 아침, 저녁으로 꾸준히 사용하기 좋았고, 화장 전에 발라도 밀림 없이 잘 먹어요. 시간이 지나도 당김이 덜해서 만족스러웠어요.

자극도 거의 없어서 피부 예민할 때도 편하게 사용 가능했고, 무난하게 잘 맞는 제품이에요.

대용량이라 가성비도 좋아서 꾸준히 쓰기 좋은 기본 수분크림으로 추천해요 👍"
"5","2026.03.31","","","","False","화장 전 바르기 좋은 가벼운 크림
잠자기 전엔 부족함 텍스쳐가 얇아서ㅜ

같이 올영 알바했던 동생이 맨날 꿀피부라고 화장 전 루틴 알려달라 그래서 알려드림요

ㅁ디힐 히알루론 패드?
ㄷ마토리 하늘색 앰플
토ㄹ든 수분크림
ㅇ이크메이크 컨실러
ㅍ 쿠션"
"5","2026.05.17","지성","여름쿨톤","미백, 각질","False","토리든 시리즈 토너부터 크림 앰플 다 이 라인으로 쓰는데 피부가 엄청 좋아짐"
"5","2026.05.14","건성","웜톤","잡티, 아토피","False","토리든 제품은 진짜 그냥 물스러워서 자극 없이 보습 잘 해주는 것 같습니다. 잘 쓰고 있어요 무난템"
"5","2026.05.13","복합성","여름쿨톤","트러블, 피지과다","False","몇번째 재구매인지 모르겠지만 지금 정착한지 오래됐어요 세일쟁여템"
"5","2026.05.12","","","","False","여름에 쓰기 좋아요. 흡수 빨라요. 에스트라 수딩크림이 계속 품절이거나 판매를 안해서 ㅠ ai가 대체품으로 소개해줬는데 좋네요 ㅋㅋ"
"5","2026.05.12","민감성","여름쿨톤","주름, 블랙헤드","False","벌써 한 달째 매일 쓰고 있는데 딱히 단점도 없고 가격 대비 성능이 훌륭해서 적극 추천합니다!"
"4","2026.05.11","복합성","봄웜톤","","False","무난템.. 엄청난 효과는 못 봤지만 그렇다고 부족한 점도 없었음 수딩크림 순한 거 필요하면 ㄱㄱ 바르면 확실히 좀 촉촉하긴 한듯?"
"5","2026.05.10","","","","False","너무 좋아요. 
이것만 써요. 
딸아이랑 같이 써요 
너무 좋아요. 사계절 내내 좋아요."
"5","2026.05.08","","","","False","항상 잘 쓰고있는 제품입니다 좋아요 다 쓰면 또 추가초 구매할거에요"
"5","2026.05.08","","","","False","촉촉해서 좋고 요새 날씨에 쓰기 가벼워요:)
세럼이랑 같이 사용하니까 더 좋은듯해요"
"5","2026.05.08","","","","True","nn번째 사용하는 제품. 순하고 사용했던 다른 제품들보다 피부 좋아져서 정착했답니당"
"5","2026.05.08","","","","False","운동 후 세안후에 사용하는데, 피부 진정효과가 좋습니다!"
"5","2026.05.05","","","","False","토리든은 수분감이 많아서 촉촉하고 좋아요 세수하고 바로 수분잠금입니다"
"5","2026.05.04","","","","False","가볍고 산뜻해서 여름에 쓰기 좋더라고요. 재구매 입니다."
"5","2026.05.04","","","","False","토리든 히알루론산 수딩 크림 1+1 쓰던 제품이 다 써서 다시 샀음"
"5","2026.05.04","","","","True","촉촉해서 너무 좋아요. 건성에 추천합니다!
사계절에 항상 써요"
"4","2026.05.04","","","","True","기존에 수분크림으로는  속보습이 부족해 수분 크림 전에 수딩으로 수분 보충 해 주고 있어요"
"4","2026.05.03","","","","True","수딩크림은 촉촉하고 자극적이지 않아요.보습은안되니 크림은 발라줘야 합니다."
"5","2026.05.03","","","","False","주문한 상품들을 잘 받았습니다. 정말 마음에 들어요.
이것들은 제가 매일 사용하는 물건들입니다."
"4","2026.05.03","","","","False","좋은데 제가 처음에 두 개가 다른 건 줄 알았는데 알고 보니 병만 다르고 크림은 똑같은 거였어요 근데 진짜 촉촉하고 좋아요 재구매할 것 같아요"
"5","2026.04.23","","","","False","매번 쓰는 제품이라 할인하길래 또 재구매했어요. 좋습니다"
"5","2026.04.20","건성","","","False","꾸덕한 타입보다 이게 더 좋네요 쿨링감 있고 순하고 수분감도 좋습니다~"
"5","2026.04.19","중성","","잡티, 미백","False","토리든 기초 제품을 모두 구매해서 사용하고 있어요 피부에 자극도 없고 순해서 너무 좋아요"
"5","2026.04.18","","","","False","순하다고 추천받아서 샀는데 사길 잘한것같아요.
용량도 많고 속건조도 잘잡아주는게 아주 좋네오!"
"4","2026.04.15","","","","False","겨울용으론 속건조가 생겨 땡겨서 조금 유분가 부족한것 빼고 다른 계절엔 촉촉하고 좋아요."
"5","2026.05.17","","","","False","순하고 촉촉해요 근데 저녁에 쓰기엔 좀 가벼워요 그래서 저는 아침에 써줍니다 무난하게 쓰긴 좋은데 재구매는 좀 망설여지는 큼큼;;; 다른 수분크림도 써보려고요"
"4","2026.05.14","복합성","봄웜톤","잡티, 미백","False","정말정말 가벼운 수분크림이에요
진짜 수우우우분크림이에요
촉촉가볍이라 여름에 지성분들은 잘사용할것 같아요
그런데 수부지인 저에게는 조금 가벼워서
좀더 무거운 제품을 잘 사용하긴 합니다"
"5","2026.05.13","","","","False","시원하고 부담스럽지 않은 제형이어서 부담없이 사용하기 좋아요!"
"5","2026.05.13","지성","쿨톤","잡티","False","토리든 시리즈가 저는 너무 무겁지도 않고 가볍지도 않아 무난해요."
"5","2026.05.05","","","","True","이번에 Olive Young에서 구매한 제품이 정말 만족스러웠어요. 배송도 빠르고 포장도 깔끔하게 와서 기분이 좋았습니다. 제품 품질도 기대 이상이었고 사용해 보니 효과도 괜찮은 것 같아요. 가격도 행사 덕분에 합리적으로 구매할 수 있어서 더욱 만족합니다. 다음에도 필요한 제품이 있으면 다시 구매할 생각이에요. 추천합니다! 😊"
"5","2026.05.04","","","","True","평소 데이케어나 나이트케어용으로 사용할 땐 딱히 효과를 못 느꼈는데, 히알샤워 용도로 너무 잘 사용하고 있어요
단지형이랑 튜브형 두 개 다 있는 구성이라 단지형은 집에서, 튜브형은 팟타입 컨실러 사용할 때 브러쉬에 먹여주는 용도나 외박할 때 휴대하면서 히알샤워용으로 사용하고 있어요"
"4","2026.05.03","","","","False","뭔가 지성이나 복합성이 쓰기엔 전체적으로 애매한 느낌인 것 같아요. 근데 또 나쁘지는 않아서 더 애매한 느낌… 이거 쓰니까 기름이 좀 올라오긴 하는데 트러블이 더 생기거나 하지는 않았어요. 그리고 건조한건 아니지만 수분감이 또 좋은 느낌른 아니구... 그냥 전체적으로 무난하고 애매한 것 같아요. 여름에 쓰기엔 보습감이 괜찮을지도??.."
"5","2026.04.24","","","","False","몇년째 사용하는 제품입니다 아침에는 화장을해야하기때문에 라이트하게 바르는편입니다ㅡ여러개를 바르니 화장이.밀리고 안밀이는 조합도 찾기힘들고  스킨로셤이 수분이 좀 날라가야 선크림 쿠션을 발라서 스피드가 중요해서요~ 저는 봄여름에는 이거만바르는데  화장잘먹어요 주변에도 화장.잘됐다고 무슨 제품쓰냐고 물어보길래 수분크림 하나만 바른다니 놀라더군요 처음에는 토리든 브랜드를 몰랐고 친구가.이야기해서 알았는데 코스트코에도 판매를해서 제품력인정이 되는 제품이구나 해서 구입해서 몇년째 사용하고있는중입니다 가격도 합리적이고 계속 구입할예정입니다"
"5","2026.04.05","복합성","가을웜톤","미백, 각질","False","진짜 딱 겉도는 거 없이 수분만 채워주는 느낌 입니다!!! 진짜 딱 화질먹이고 저녁에도 바르는데 다음날 피부 컨디션 너무 좋고 트러블도 좀 가라앉은 느낌? 약간 붉은기 진정 효과 있는 듯해요! 그리고 다음날 세수해도 제가 수부지여도 속당김 없어요! 대박 계속 속당김 잇었는데 세수하고도 속당감이 없네요! 수부지 강추 드립니다"
"5","2026.04.16","복합성","","잡티, 각질","False","순하고 자극도 없고 양도 많고 다 좋은데, 지금같은 계절에 쓰기엔 좀 가벼워서 날씨가 더워지면 쓰려고요."
"5","2026.03.26","복합성","","미백, 트러블","False","필요했느데 마침 세일하고 있어서 구매했습니다 ㅎㅎ 가성비 굿"
"5","2026.03.19","","","","False","훌륭한 상품입니다, 값어치가 있습니다, 다음에 또 구매하겠습니다, 할인 폭이 매우 큽니다."
"5","2026.05.10","","","","False","데일리로 무난무난하게 사용하기 좋은 수분크림
엄청 좋다..! 이건 아닌 것 같지만 수분 크림중에서 어떤 걸 살지 고민이라면 한번쯤은 사용해봐도 괜찮은 제품"
"5","2026.05.08","복합성","가을웜톤","잡티, 미백","False","진짜진짜 좋아요.제가 지성인데 너무 좋습니다. 크림 너무 유분기 많을까봐 걱정하면서 사는데 이건 수분만 채워주는 느낌이 들오 앞으로 잘 애용할것 같아요. 추천합니다!"
"5","2026.05.05","중성","","","False","확실히 수딩제형이라 그런지 엄청 촉촉하고 바를때 질감이좋네요!!메이크업전에 원래 마스크팩하고 어느정도 닦아낸후 했었는데 요 크림사고 바른후 화장하니까 결정리되고 화잘먹되요!!"
"5","2026.05.05","지성","","트러블, 피지과다","False","친구 추첨으로 구매해봄 토리든 좋아해서 사보ㅓㅆ어여 먾이파세여"
